YEAR,TYPE,DOMINANT_SPECIES,CUTTING_AGE
2013,production,spruce,70.0
2013,protected,spruce,
2014,production,all,67.23660297657057
2014,protected,all,
2014,production,aspen,40.0
2014,protected,aspen,
2014,production,birch,60.0
2014,protected,birch,
2014,production,black alder,60.0
2014,protected,black alder,
2014,production,grey alder,30.0
2014,protected,grey alder,
2014,production,other,90.0
2014,protected,other,
2014,production,pine,90.0
2014,protected,pine,
2014,production,spruce,70.0
2014,protected,spruce,
2015,production,all,67.0618480249172
2015,protected,all,
2015,production,aspen,40.0
2015,protected,aspen,
2015,production,birch,60.0
2015,protected,birch,
2015,production,black alder,60.0
2015,protected,black alder,
2015,production,grey alder,30.0
2015,protected,grey alder,
2015,production,other,90.0
2015,protected,other,
2015,production,pine,90.0
2015,protected,pine,
2015,production,spruce,70.0
2015,protected,spruce,
2016,production,all,67.00125093820364
2016,protected,all,
2016,production,aspen,40.0
2016,protected,aspen,
2016,production,birch,60.0
2016,protected,birch,
2016,production,black alder,60.0
2016,protected,black alder,
2016,production,grey alder,30.0
2016,protected,grey alder,
2016,production,other,90.0
2016,protected,other,
2016,production,pine,90.0
2016,protected,pine,
2016,production,spruce,70.0
2016,protected,spruce,
2017,production,all,66.78438099081828
2017,protected,all,
2017,production,aspen,40.0
2017,protected,aspen,
2017,production,birch,60.0
2017,protected,birch,
2017,production,black alder,60.0
2017,protected,black alder,
2017,production,grey alder,30.0
2017,protected,grey alder,
2017,production,other,90.0
2017,protected,other,
2017,production,pine,90.0
2017,protected,pine,
2017,production,spruce,70.0
2017,protected,spruce,
2018,production,all,66.80304377902955
2018,protected,all,
2018,production,aspen,40.0
2018,protected,aspen,
2018,production,birch,60.0
2018,protected,birch,
2018,production,black alder,60.0
2018,protected,black alder,
2018,production,grey alder,30.0
2018,protected,grey alder,
2018,production,other,90.0
2018,protected,other,
2018,production,pine,90.0
2018,protected,pine,
2018,production,spruce,70.0
2018,protected,spruce,
2019,production,all,66.68778370828552
2019,protected,all,
2019,production,aspen,40.0
2019,protected,aspen,
2019,production,birch,60.0
2019,protected,birch,
2019,production,black alder,60.0
2019,protected,black alder,
2019,production,grey alder,30.0
2019,protected,grey alder,
2019,production,other,90.0
2019,protected,other,
2019,production,pine,90.0
2019,protected,pine,
2019,production,spruce,70.0
2019,protected,spruce,
2020,production,all,66.38456877398505
2020,protected,all,
2020,production,aspen,40.0
2020,protected,aspen,
2020,production,birch,60.0
2020,protected,birch,
2020,production,black alder,60.0
2020,protected,black alder,
2020,production,grey alder,30.0
2020,protected,grey alder,
2020,production,other,90.0
2020,protected,other,
2020,production,pine,90.0
2020,protected,pine,
2020,production,spruce,70.0
2020,protected,spruce,
2021,production,all,65.89072519680934
2021,protected,all,
2021,production,aspen,40.0
2021,protected,aspen,
2021,production,birch,60.0
2021,protected,birch,
2021,production,black alder,60.0
2021,protected,black alder,
2021,production,grey alder,30.0
2021,protected,grey alder,
2021,production,other,90.0
2021,protected,other,
2021,production,pine,90.0
2021,protected,pine,
2021,production,spruce,70.0
2021,protected,spruce,
2022,production,all,65.73139974779318
2022,protected,all,
2022,production,aspen,40.0
2022,protected,aspen,
2022,production,birch,60.0
2022,protected,birch,
2022,production,black alder,60.0
2022,protected,black alder,
2022,production,grey alder,30.0
2022,protected,grey alder,
2022,production,other,90.0
2022,protected,other,
2022,production,pine,90.0
2022,protected,pine,
2022,production,spruce,70.0
2022,protected,spruce,
2023,production,all,65.48603821121142
2023,protected,all,
2023,production,aspen,40.0
2023,protected,aspen,
2023,production,birch,60.0
2023,protected,birch,
2023,production,black alder,60.0
2023,protected,black alder,
2023,production,grey alder,30.0
2023,protected,grey alder,
2023,production,other,90.0
2023,protected,other,
2023,production,pine,90.0
2023,protected,pine,
2023,production,spruce,70.0
2023,protected,spruce,
2024,production,all,65.16846789574062
2024,protected,all,
2024,production,aspen,40.0
2024,protected,aspen,
2024,production,birch,60.0
2024,protected,birch,
2024,production,black alder,60.0
2024,protected,black alder,
2024,production,grey alder,30.0
2024,protected,grey alder,
2024,production,other,90.0
2024,protected,other,
2024,production,pine,90.0
2024,protected,pine,
2024,production,spruce,70.0
2024,protected,spruce,
