YEAR,OWNER,TYPE,DOMINANT_SPECIES,QUALITY_CLASS,AREA,UNIT,RELATIVE_ERROR_PERCENT
1999,State Forest Management Centre,protected,grey alder,1,0.820214937,kha,0.998147748
1999,State Forest Management Centre,protected,grey alder,1A,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,2,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,3,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,4,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,5,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,5A-5B,,kha,0.0
1999,State Forest Management Centre,protected,grey alder,all,0.820214937,kha,0.998147748
1999,State Forest Management Centre,protected,pine,1,8.126192965,kha,0.686520444
1999,State Forest Management Centre,protected,pine,1A,,kha,0.0
1999,State Forest Management Centre,protected,pine,2,13.034461489,kha,0.491451733
1999,State Forest Management Centre,protected,pine,3,14.03377363,kha,0.315545968
1999,State Forest Management Centre,protected,pine,4,10.800201027,kha,0.455859036
1999,State Forest Management Centre,protected,pine,5,10.139780087,kha,0.41130401
1999,State Forest Management Centre,protected,pine,5A-5B,7.903006782,kha,0.461030441
1999,State Forest Management Centre,protected,pine,all,64.03741598,kha,0.26904159
1999,State Forest Management Centre,protected,spruce,1,2.600564501,kha,0.709059362
1999,State Forest Management Centre,protected,spruce,1A,,kha,0.0
1999,State Forest Management Centre,protected,spruce,2,5.394846386,kha,0.646126228
1999,State Forest Management Centre,protected,spruce,3,3.540824822,kha,0.840685972
1999,State Forest Management Centre,protected,spruce,4,,kha,0.0
1999,State Forest Management Centre,protected,spruce,5,,kha,0.0
1999,State Forest Management Centre,protected,spruce,5A-5B,,kha,0.0
1999,State Forest Management Centre,protected,spruce,all,11.536235709,kha,0.498858419
1999,all,production,aspen,1,43.035070661,kha,0.183712372
1999,all,production,aspen,1A,28.631452167,kha,0.225787201
1999,all,production,aspen,2,28.386449934,kha,0.244625333
1999,all,production,aspen,3,5.711007777,kha,0.525140983
1999,all,production,aspen,4,,kha,0.0
1999,all,production,aspen,5,,kha,0.0
1999,all,production,aspen,5A-5B,,kha,0.0
1999,all,production,aspen,all,105.763980539,kha,0.127409801
1999,all,production,birch,1,135.160593528,kha,0.133840517
1999,all,production,birch,1A,31.099521288,kha,0.26425264
1999,all,production,birch,2,222.132046097,kha,0.108782274
1999,all,production,birch,3,150.726173663,kha,0.122680279
1999,all,production,birch,4,34.184150808,kha,0.237166602
1999,all,production,birch,5,9.137612443,kha,0.389564007
1999,all,production,birch,5A-5B,,kha,0.0
1999,all,production,birch,all,582.440097827,kha,0.077769247
1999,all,production,black alder,1,7.995410887,kha,0.468280078
1999,all,production,black alder,1A,,kha,0.0
1999,all,production,black alder,2,28.687991144,kha,0.232184834
1999,all,production,black alder,3,4.860410278,kha,0.572254834
1999,all,production,black alder,4,2.061102707,kha,0.707975939
1999,all,production,black alder,5,,kha,0.0
1999,all,production,black alder,5A-5B,,kha,0.0
1999,all,production,black alder,all,43.604915017,kha,0.191129111
1999,all,production,grey alder,1,93.649905063,kha,0.166377126
1999,all,production,grey alder,1A,2.284403111,kha,0.703738004
1999,all,production,grey alder,2,89.799315179,kha,0.141197937
1999,all,production,grey alder,3,6.47719658,kha,0.382409607
1999,all,production,grey alder,4,,kha,0.0
1999,all,production,grey alder,5,,kha,0.0
1999,all,production,grey alder,5A-5B,,kha,0.0
1999,all,production,grey alder,all,192.210819933,kha,0.123103956
1999,all,production,other,1,9.18695555,kha,0.338942204
1999,all,production,other,1A,3.426604666,kha,0.572913544
1999,all,production,other,2,6.390389262,kha,0.477028132
1999,all,production,other,3,9.137612443,kha,0.389479628
1999,all,production,other,4,1.142201555,kha,0.998147748
1999,all,production,other,5,1.142201555,kha,0.997884288
1999,all,production,other,5A-5B,,kha,0.0
1999,all,production,other,all,30.425965031,kha,0.227280837
1999,all,production,pine,1,109.680818112,kha,0.16754351
1999,all,production,pine,1A,15.128573821,kha,0.269849105
1999,all,production,pine,2,138.813582542,kha,0.130148115
1999,all,production,pine,3,168.595688556,kha,0.138249264
1999,all,production,pine,4,75.776392464,kha,0.160196326
1999,all,production,pine,5,40.400468553,kha,0.235742122
1999,all,production,pine,5A-5B,23.333007592,kha,0.32180493
1999,all,production,pine,all,571.728531641,kha,0.090437093
1999,all,production,spruce,1,153.808861441,kha,0.117518298
1999,all,production,spruce,1A,56.654682007,kha,0.167246971
1999,all,production,spruce,2,84.87208611,kha,0.156183412
1999,all,production,spruce,3,23.521356629,kha,0.247899678
1999,all,production,spruce,4,6.349041565,kha,0.469867007
1999,all,production,spruce,5,,kha,0.0
1999,all,production,spruce,5A-5B,,kha,0.0
1999,all,production,spruce,all,325.206027752,kha,0.097689494
1999,all,protected,aspen,1,5.711007777,kha,0.659254222
1999,all,protected,aspen,1A,,kha,0.0
1999,all,protected,aspen,2,6.853209332,kha,0.846621659
1999,all,protected,aspen,3,,kha,0.0
1999,all,protected,aspen,4,,kha,0.0
1999,all,protected,aspen,5,,kha,0.0
1999,all,protected,aspen,5A-5B,,kha,0.0
1999,all,protected,aspen,all,12.564217109,kha,0.548053836
1999,all,protected,birch,1,5.253213393,kha,0.448027091
1999,all,protected,birch,1A,,kha,0.0
1999,all,protected,birch,2,15.990821775,kha,0.44646254
1999,all,protected,birch,3,14.976775234,kha,0.367791473
1999,all,protected,birch,4,7.995410887,kha,0.422456977
1999,all,protected,birch,5,3.426604666,kha,0.572913544
1999,all,protected,birch,5A-5B,,kha,0.0
1999,all,protected,birch,all,47.642825955,kha,0.3030106
1999,all,protected,black alder,1,3.426604666,kha,0.742397007
1999,all,protected,black alder,1A,,kha,0.0
1999,all,protected,black alder,2,3.426604666,kha,0.572301271
1999,all,protected,black alder,3,1.649795927,kha,0.75516873
1999,all,protected,black alder,4,3.426604666,kha,0.998147748
1999,all,protected,black alder,5,1.142201555,kha,0.998147748
1999,all,protected,black alder,5A-5B,,kha,0.0
1999,all,protected,black alder,all,13.07181148,kha,0.514100764
1999,all,protected,grey alder,1,0.820214937,kha,0.998147748
1999,all,protected,grey alder,1A,,kha,0.0
1999,all,protected,grey alder,2,0.965617195,kha,0.845692827
1999,all,protected,grey alder,3,,kha,0.0
1999,all,protected,grey alder,4,,kha,0.0
1999,all,protected,grey alder,5,,kha,0.0
1999,all,protected,grey alder,5A-5B,,kha,0.0
1999,all,protected,grey alder,all,1.785832132,kha,0.645750445
1999,all,protected,pine,1,10.410596076,kha,0.55620096
1999,all,protected,pine,1A,,kha,0.0
1999,all,protected,pine,2,21.314052123,kha,0.367416555
1999,all,protected,pine,3,30.024595404,kha,0.310762212
1999,all,protected,pine,4,14.226805693,kha,0.387089269
1999,all,protected,pine,5,15.850787864,kha,0.35090725
1999,all,protected,pine,5A-5B,13.614014558,kha,0.382040384
1999,all,protected,pine,all,105.440851719,kha,0.239992945
1999,all,protected,spruce,1,3.742766057,kha,0.577152917
1999,all,protected,spruce,1A,0.338662761,kha,0.997093491
1999,all,protected,spruce,2,7.679249497,kha,0.540519322
1999,all,protected,spruce,3,4.683026377,kha,0.679663268
1999,all,protected,spruce,4,,kha,0.0
1999,all,protected,spruce,5,,kha,0.0
1999,all,protected,spruce,5A-5B,,kha,0.0
1999,all,protected,spruce,all,16.443704691,kha,0.38666882
1999,other,production,aspen,1,23.956192761,kha,0.235871543
1999,other,production,aspen,1A,20.921249008,kha,0.258743916
1999,other,production,aspen,2,23.817643712,kha,0.261825538
1999,other,production,aspen,3,4.568806221,kha,0.608803403
1999,other,production,aspen,4,,kha,0.0
1999,other,production,aspen,5,,kha,0.0
1999,other,production,aspen,5A-5B,,kha,0.0
1999,other,production,aspen,all,73.263891703,kha,0.151511732
1999,other,production,birch,1,85.089332846,kha,0.161693489
1999,other,production,birch,1A,22.31770463,kha,0.2824686
1999,other,production,birch,2,156.743862558,kha,0.128740531
1999,other,production,birch,3,112.351856449,kha,0.157729851
1999,other,production,birch,4,25.046538366,kha,0.275353291
1999,other,production,birch,5,7.995410887,kha,0.423167694
1999,other,production,birch,5A-5B,,kha,0.0
1999,other,production,birch,all,409.544705736,kha,0.091585945
1999,other,production,black alder,1,6.853209332,kha,0.521846528
1999,other,production,black alder,1A,,kha,0.0
1999,other,production,black alder,2,19.550378702,kha,0.262121865
1999,other,production,black alder,3,3.718208723,kha,0.685033176
1999,other,production,black alder,4,0.918901151,kha,0.997093491
1999,other,production,black alder,5,,kha,0.0
1999,other,production,black alder,5A-5B,,kha,0.0
1999,other,production,black alder,all,31.040697908,kha,0.213729031
1999,other,production,grey alder,1,87.468652906,kha,0.174532561
1999,other,production,grey alder,1A,2.284403111,kha,0.703738004
1999,other,production,grey alder,2,86.240900454,kha,0.144859014
1999,other,production,grey alder,3,6.47719658,kha,0.382409607
1999,other,production,grey alder,4,,kha,0.0
1999,other,production,grey alder,5,,kha,0.0
1999,other,production,grey alder,5A-5B,,kha,0.0
1999,other,production,grey alder,all,182.47115305,kha,0.128092178
1999,other,production,other,1,7.076509736,kha,0.390108242
1999,other,production,other,1A,1.142201555,kha,0.998147748
1999,other,production,other,2,2.963784596,kha,0.576402267
1999,other,production,other,3,7.995410887,kha,0.423433905
1999,other,production,other,4,1.142201555,kha,0.998147748
1999,other,production,other,5,1.142201555,kha,0.997884288
1999,other,production,other,5A-5B,,kha,0.0
1999,other,production,other,all,21.462309885,kha,0.253376828
1999,other,production,pine,1,65.383157852,kha,0.1906506
1999,other,production,pine,1A,11.400313724,kha,0.317869434
1999,other,production,pine,2,72.627571217,kha,0.154075738
1999,other,production,pine,3,93.036428607,kha,0.182999605
1999,other,production,pine,4,36.161644361,kha,0.232697976
1999,other,production,pine,5,18.275224885,kha,0.368608435
1999,other,production,pine,5A-5B,9.137612443,kha,0.555223426
1999,other,production,pine,all,306.021953089,kha,0.117932365
1999,other,production,spruce,1,94.2496751,kha,0.142190794
1999,other,production,spruce,1A,33.175358395,kha,0.21317847
1999,other,production,spruce,2,49.346762235,kha,0.204078777
1999,other,production,spruce,3,11.77198611,kha,0.329949553
1999,other,production,spruce,4,1.337860682,kha,0.864048739
1999,other,production,spruce,5,,kha,0.0
1999,other,production,spruce,5A-5B,,kha,0.0
1999,other,production,spruce,all,189.881642521,kha,0.113468964
1999,other,protected,aspen,1,1.142201555,kha,0.997093491
1999,other,protected,aspen,1A,,kha,0.0
1999,other,protected,aspen,2,6.853209332,kha,0.846621659
1999,other,protected,aspen,3,,kha,0.0
1999,other,protected,aspen,4,,kha,0.0
1999,other,protected,aspen,5,,kha,0.0
1999,other,protected,aspen,5A-5B,,kha,0.0
1999,other,protected,aspen,all,7.995410887,kha,0.738590778
1999,other,protected,birch,1,2.968810283,kha,0.58598702
1999,other,protected,birch,1A,,kha,0.0
1999,other,protected,birch,2,5.711007777,kha,0.524439517
1999,other,protected,birch,3,8.453205271,kha,0.445885783
1999,other,protected,birch,4,1.142201555,kha,0.997093491
1999,other,protected,birch,5,2.284403111,kha,0.703738004
1999,other,protected,birch,5A-5B,,kha,0.0
1999,other,protected,birch,all,20.559627996,kha,0.315966545
1999,other,protected,black alder,1,1.142201555,kha,0.997093491
1999,other,protected,black alder,1A,,kha,0.0
1999,other,protected,black alder,2,2.284403111,kha,0.702990329
1999,other,protected,black alder,3,1.142201555,kha,0.998147748
1999,other,protected,black alder,4,2.284403111,kha,0.998147748
1999,other,protected,black alder,5,1.142201555,kha,0.998147748
1999,other,protected,black alder,5A-5B,,kha,0.0
1999,other,protected,black alder,all,7.995410887,kha,0.651128903
1999,other,protected,grey alder,1,,kha,0.0
1999,other,protected,grey alder,1A,,kha,0.0
1999,other,protected,grey alder,2,0.965617195,kha,0.845692827
1999,other,protected,grey alder,3,,kha,0.0
1999,other,protected,grey alder,4,,kha,0.0
1999,other,protected,grey alder,5,,kha,0.0
1999,other,protected,grey alder,5A-5B,,kha,0.0
1999,other,protected,grey alder,all,0.965617195,kha,0.845692827
1999,other,protected,pine,1,2.284403111,kha,0.703738022
1999,other,protected,pine,1A,,kha,0.0
1999,other,protected,pine,2,8.279590634,kha,0.556951679
1999,other,protected,pine,3,15.990821775,kha,0.50109926
1999,other,protected,pine,4,3.426604666,kha,0.572913544
1999,other,protected,pine,5,5.711007777,kha,0.524038289
1999,other,protected,pine,5A-5B,5.711007777,kha,0.660210745
1999,other,protected,pine,all,41.403435739,kha,0.422094202
1999,other,protected,spruce,1,1.142201555,kha,0.997093517
1999,other,protected,spruce,1A,0.338662761,kha,0.997093491
1999,other,protected,spruce,2,2.284403111,kha,0.703738004
1999,other,protected,spruce,3,1.142201555,kha,0.998147748
1999,other,protected,spruce,4,,kha,0.0
1999,other,protected,spruce,5,,kha,0.0
1999,other,protected,spruce,5A-5B,,kha,0.0
1999,other,protected,spruce,all,4.907468982,kha,0.465427434
2000,State Forest Management Centre,production,aspen,1,15.557185243,kha,0.213646932
2000,State Forest Management Centre,production,aspen,1A,7.366227821,kha,0.293541163
2000,State Forest Management Centre,production,aspen,2,5.978729021,kha,0.371180751
2000,State Forest Management Centre,production,aspen,3,1.950660407,kha,0.503768071
2000,State Forest Management Centre,production,aspen,4,,kha,0.0
2000,State Forest Management Centre,production,aspen,5,,kha,0.0
2000,State Forest Management Centre,production,aspen,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,aspen,all,30.852802493,kha,0.168445975
2000,State Forest Management Centre,production,birch,1,51.803412125,kha,0.167096002
2000,State Forest Management Centre,production,birch,1A,17.723165552,kha,0.247776126
2000,State Forest Management Centre,production,birch,2,57.789372666,kha,0.152551987
2000,State Forest Management Centre,production,birch,3,35.544489175,kha,0.139056157
2000,State Forest Management Centre,production,birch,4,6.590324994,kha,0.332224892
2000,State Forest Management Centre,production,birch,5,1.121165852,kha,0.705290169
2000,State Forest Management Centre,production,birch,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,birch,all,170.571930363,kha,0.116778048
2000,State Forest Management Centre,production,black alder,1,3.848682078,kha,0.421090367
2000,State Forest Management Centre,production,black alder,1A,,kha,0.0
2000,State Forest Management Centre,production,black alder,2,10.806244946,kha,0.295084792
2000,State Forest Management Centre,production,black alder,3,2.332641613,kha,0.460671242
2000,State Forest Management Centre,production,black alder,4,0.560582926,kha,0.99897456
2000,State Forest Management Centre,production,black alder,5,,kha,0.0
2000,State Forest Management Centre,production,black alder,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,black alder,all,17.548151563,kha,0.240624494
2000,State Forest Management Centre,production,grey alder,1,3.594289546,kha,0.384528933
2000,State Forest Management Centre,production,grey alder,1A,,kha,0.0
2000,State Forest Management Centre,production,grey alder,2,3.433906771,kha,0.369982273
2000,State Forest Management Centre,production,grey alder,3,,kha,0.0
2000,State Forest Management Centre,production,grey alder,4,,kha,0.0
2000,State Forest Management Centre,production,grey alder,5,,kha,0.0
2000,State Forest Management Centre,production,grey alder,5A-5B,,kha,0.0
2000,State Forest Management Centre,production,grey alder,all,7.028196317,kha,0.282652869
2000,State Forest Management Centre,production,other,1,1.596371998,kha,0.577618667
