YEAR,AREA,UNIT
2014,32.10,kha
2015,34.00,kha
2016,34.30,kha
2017,38.90,kha
2018,38.40,kha
2019,34.90,kha
2020,34.00,kha
2021,30.20,kha
2022,34.50,kha
