YEAR,AGE_GROUP,TYPE,AREA,UNIT
2004,81...90,protected,15.20,kha
2004,71...80,protected,23.20,kha
2004,61...70,protected,30.10,kha
2004,51...60,protected,26.60,kha
2004,41...50,protected,24.60,kha
2004,31...40,protected,16.80,kha
2004,21...30,protected,13.60,kha
2004,11...20,protected,5.40,kha
2004,...10,protected,3.30,kha
2004,unknown,protected,4.20,kha
2004,clearcut,protected,1.70,kha
2005,141...,production,6.60,kha
2005,131...140,production,3.70,kha
2005,121...130,production,9.70,kha
2005,111...120,production,16.30,kha
2005,101...110,production,32.70,kha
2005,91...100,production,61.60,kha
2005,81...90,production,95.80,kha
2005,71...80,production,177.70,kha
2005,61...70,production,209.50,kha
2005,51...60,production,281.70,kha
2005,41...50,production,306.30,kha
2005,31...40,production,266.30,kha
2005,21...30,production,180.20,kha
2005,11...20,production,134.80,kha
2005,...10,production,109.10,kha
2005,unknown,production,89.80,kha
2005,clearcut,production,68.10,kha
2005,141...,protected,10.60,kha
2005,131...140,protected,3.60,kha
2005,121...130,protected,5.40,kha
2005,111...120,protected,7.50,kha
2005,101...110,protected,8.80,kha
2005,91...100,protected,15.00,kha
2005,81...90,protected,15.70,kha
2005,71...80,protected,24.00,kha
2005,61...70,protected,28.50,kha
2005,51...60,protected,29.10,kha
2005,41...50,protected,26.20,kha
2005,31...40,protected,19.20,kha
2005,21...30,protected,13.90,kha
2005,11...20,protected,5.30,kha
2005,...10,protected,2.40,kha
2005,unknown,protected,3.70,kha
2005,clearcut,protected,2.20,kha
2006,141...,production,7.30,kha
2006,131...140,production,4.30,kha
2006,121...130,production,11.80,kha
2006,111...120,production,17.10,kha
2006,101...110,production,37.90,kha
2006,91...100,production,65.50,kha
2006,81...90,production,97.10,kha
2006,71...80,production,180.50,kha
2006,61...70,production,207.70,kha
2006,51...60,production,282.80,kha
2006,41...50,production,300.60,kha
2006,31...40,production,255.70,kha
2006,21...30,production,176.20,kha
2006,11...20,production,134.40,kha
2006,...10,production,120.00,kha
2006,unknown,production,83.00,kha
2006,clearcut,production,65.30,kha
2006,141...,protected,10.80,kha
2006,131...140,protected,4.30,kha
2006,121...130,protected,5.50,kha
2006,111...120,protected,5.90,kha
2006,101...110,protected,8.50,kha
2006,91...100,protected,16.30,kha
2006,81...90,protected,15.50,kha
2006,71...80,protected,23.60,kha
2006,61...70,protected,29.40,kha
2006,51...60,protected,31.90,kha
2006,41...50,protected,25.00,kha
2006,31...40,protected,18.30,kha
2006,21...30,protected,12.60,kha
2006,11...20,protected,5.00,kha
2006,...10,protected,2.50,kha
2006,unknown,protected,4.20,kha
2006,clearcut,protected,2.20,kha
2007,141...,production,8.20,kha
2007,131...140,production,4.50,kha
2007,121...130,production,11.90,kha
2007,111...120,production,17.60,kha
2007,101...110,production,38.00,kha
2007,91...100,production,70.50,kha
2007,81...90,production,98.00,kha
2007,71...80,production,184.80,kha
2007,61...70,production,211.30,kha
2007,51...60,production,284.40,kha
2007,41...50,production,293.90,kha
2007,31...40,production,241.20,kha
2007,21...30,production,166.00,kha
2007,11...20,production,135.10,kha
2007,...10,production,128.80,kha
2007,unknown,production,80.20,kha
2007,clearcut,production,63.10,kha
2007,141...,protected,10.80,kha
2007,131...140,protected,5.00,kha
2007,121...130,protected,5.30,kha
2007,111...120,protected,6.40,kha
2007,101...110,protected,7.80,kha
2007,91...100,protected,18.20,kha
2007,81...90,protected,15.60,kha
2007,71...80,protected,23.40,kha
2007,61...70,protected,29.90,kha
2007,51...60,protected,33.60,kha
2007,41...50,protected,28.20,kha
2007,31...40,protected,17.00,kha
2007,21...30,protected,12.10,kha
2007,11...20,protected,5.90,kha
2007,...10,protected,3.10,kha
2007,unknown,protected,3.30,kha
2007,clearcut,protected,1.80,kha
2008,141...,production,8.20,kha
2008,131...140,production,5.60,kha
2008,121...130,production,14.00,kha
2008,111...120,production,18.60,kha
2008,101...110,production,37.90,kha
2008,91...100,production,68.30,kha
2008,81...90,production,99.20,kha
2008,71...80,production,179.00,kha
2008,61...70,production,215.80,kha
2008,51...60,production,279.30,kha
2008,41...50,production,286.80,kha
2008,31...40,production,230.10,kha
2008,21...30,production,152.90,kha
