YEAR,DOMINANT_SPECIES,AGE_GROUP,TYPE,AREA,UNIT
1999,grey alder,131...140,protected,0.0,kha
1999,grey alder,141...,protected,0.0,kha
1999,grey alder,21...30,protected,1.6,kha
1999,grey alder,31...40,protected,0.0,kha
1999,grey alder,41...50,protected,0.0,kha
1999,grey alder,51...60,protected,0.0,kha
1999,grey alder,61...70,protected,0.0,kha
1999,grey alder,71...80,protected,0.0,kha
1999,grey alder,81...90,protected,0.0,kha
1999,grey alder,91...100,protected,0.0,kha
1999,grey alder,clearcut,protected,0.0,kha
1999,grey alder,unknown,protected,0.0,kha
1999,other,...10,production,3.6,kha
1999,other,101...110,production,0.0,kha
1999,other,11...20,production,2.1,kha
1999,other,111...120,production,0.0,kha
1999,other,121...130,production,0.0,kha
1999,other,131...140,production,0.0,kha
1999,other,141...,production,0.0,kha
1999,other,21...30,production,4.1,kha
1999,other,31...40,production,6.9,kha
1999,other,41...50,production,3.4,kha
1999,other,51...60,production,1.1,kha
1999,other,61...70,production,3.4,kha
1999,other,71...80,production,4.6,kha
1999,other,81...90,production,0.0,kha
1999,other,91...100,production,1.1,kha
1999,other,clearcut,production,0.0,kha
1999,other,unknown,production,0.0,kha
1999,other,...10,protected,0.0,kha
1999,other,101...110,protected,0.0,kha
1999,other,11...20,protected,0.0,kha
1999,other,111...120,protected,0.0,kha
1999,other,121...130,protected,0.0,kha
1999,other,131...140,protected,0.0,kha
1999,other,141...,protected,0.0,kha
1999,other,21...30,protected,0.0,kha
1999,other,31...40,protected,0.0,kha
1999,other,41...50,protected,0.0,kha
1999,other,51...60,protected,1.2,kha
1999,other,61...70,protected,2.3,kha
1999,other,71...80,protected,1.1,kha
1999,other,81...90,protected,0.0,kha
1999,other,91...100,protected,1.2,kha
1999,other,clearcut,protected,1.1,kha
1999,other,unknown,protected,0.0,kha
1999,pine,...10,production,12.0,kha
1999,pine,101...110,production,18.5,kha
1999,pine,11...20,production,33.6,kha
1999,pine,111...120,production,15.9,kha
1999,pine,121...130,production,3.9,kha
1999,pine,131...140,production,0.0,kha
1999,pine,141...,production,5.5,kha
1999,pine,21...30,production,27.6,kha
1999,pine,31...40,production,49.6,kha
1999,pine,41...50,production,76.7,kha
1999,pine,51...60,production,88.8,kha
1999,pine,61...70,production,79.0,kha
1999,pine,71...80,production,71.5,kha
1999,pine,81...90,production,59.1,kha
1999,pine,91...100,production,29.9,kha
1999,pine,clearcut,production,10.1,kha
1999,pine,unknown,production,22.3,kha
1999,pine,...10,protected,0.5,kha
1999,pine,101...110,protected,4.6,kha
1999,pine,11...20,protected,1.2,kha
1999,pine,111...120,protected,3.5,kha
1999,pine,121...130,protected,2.3,kha
1999,pine,131...140,protected,5.2,kha
1999,pine,141...,protected,4.9,kha
1999,pine,21...30,protected,7.3,kha
1999,pine,31...40,protected,3.2,kha
1999,pine,41...50,protected,10.3,kha
1999,pine,51...60,protected,10.3,kha
1999,pine,61...70,protected,20.8,kha
1999,pine,71...80,protected,10.3,kha
1999,pine,81...90,protected,13.3,kha
1999,pine,91...100,protected,8.0,kha
1999,pine,clearcut,protected,1.2,kha
1999,pine,unknown,protected,0.5,kha
1999,spruce,...10,production,1.1,kha
1999,spruce,101...110,production,9.1,kha
1999,spruce,11...20,production,22.7,kha
1999,spruce,111...120,production,4.6,kha
1999,spruce,121...130,production,0.0,kha
1999,spruce,131...140,production,0.0,kha
1999,spruce,141...,production,0.0,kha
1999,spruce,21...30,production,43.2,kha
1999,spruce,31...40,production,44.2,kha
1999,spruce,41...50,production,31.7,kha
1999,spruce,51...60,production,45.5,kha
1999,spruce,61...70,production,53.2,kha
1999,spruce,71...80,production,35.4,kha
1999,spruce,81...90,production,23.1,kha
1999,spruce,91...100,production,11.5,kha
1999,spruce,clearcut,production,22.7,kha
1999,spruce,unknown,production,25.5,kha
1999,spruce,...10,protected,0.7,kha
1999,spruce,101...110,protected,1.2,kha
1999,spruce,11...20,protected,1.8,kha
1999,spruce,111...120,protected,0.0,kha
1999,spruce,121...130,protected,0.0,kha
1999,spruce,131...140,protected,0.0,kha
1999,spruce,141...,protected,0.0,kha
1999,spruce,21...30,protected,2.3,kha
1999,spruce,31...40,protected,4.6,kha
1999,spruce,41...50,protected,0.3,kha
1999,spruce,51...60,protected,1.2,kha
1999,spruce,61...70,protected,1.1,kha
1999,spruce,71...80,protected,2.2,kha
1999,spruce,81...90,protected,1.2,kha
1999,spruce,91...100,protected,0.0,kha
1999,spruce,clearcut,protected,0.0,kha
1999,spruce,unknown,protected,1.1,kha
2000,all,...10,production,90.3,kha
2000,all,101...110,production,25.7,kha
2000,all,11...20,production,132.7,kha
2000,all,111...120,production,25.2,kha
2000,all,121...130,production,3.6,kha
2000,all,131...140,production,2.8,kha
2000,all,141...,production,9.0,kha
2000,all,21...30,production,173.3,kha
2000,all,31...40,production,274.8,kha
2000,all,41...50,production,307.3,kha
2000,all,51...60,production,293.3,kha
2000,all,61...70,production,220.3,kha
2000,all,71...80,production,164.6,kha
2000,all,81...90,production,106.7,kha
2000,all,91...100,production,65.0,kha
2000,all,clearcut,production,55.4,kha
2000,all,unknown,production,83.4,kha
2000,all,...10,protected,8.0,kha
2000,all,101...110,protected,6.7,kha
2000,all,11...20,protected,6.9,kha
2000,all,111...120,protected,8.6,kha
2000,all,121...130,protected,4.5,kha
2000,all,131...140,protected,5.4,kha
2000,all,141...,protected,5.5,kha
2000,all,21...30,protected,12.3,kha
2000,all,31...40,protected,15.0,kha
2000,all,41...50,protected,21.8,kha
2000,all,51...60,protected,25.0,kha
2000,all,61...70,protected,35.9,kha
2000,all,71...80,protected,19.6,kha
2000,all,81...90,protected,16.1,kha
2000,all,91...100,protected,10.1,kha
2000,all,clearcut,protected,2.8,kha
2000,all,unknown,protected,5.7,kha
2000,aspen,...10,production,10.1,kha
2000,aspen,101...110,production,0.0,kha
2000,aspen,11...20,production,5.0,kha
2000,aspen,111...120,production,0.6,kha
2000,aspen,121...130,production,0.0,kha
2000,aspen,131...140,production,0.0,kha
2000,aspen,141...,production,0.0,kha
2000,aspen,21...30,production,5.7,kha
2000,aspen,31...40,production,9.8,kha
2000,aspen,41...50,production,27.1,kha
2000,aspen,51...60,production,24.4,kha
2000,aspen,61...70,production,11.9,kha
2000,aspen,71...80,production,7.1,kha
2000,aspen,81...90,production,2.8,kha
2000,aspen,91...100,production,0.6,kha
2000,aspen,clearcut,production,0.6,kha
2000,aspen,unknown,production,8.5,kha
2000,aspen,...10,protected,0.5,kha
2000,aspen,101...110,protected,0.0,kha
2000,aspen,11...20,protected,0.0,kha
2000,aspen,111...120,protected,0.0,kha
2000,aspen,121...130,protected,0.0,kha
2000,aspen,131...140,protected,0.0,kha
2000,aspen,141...,protected,0.0,kha
2000,aspen,21...30,protected,0.0,kha
2000,aspen,31...40,protected,0.0,kha
2000,aspen,41...50,protected,0.0,kha
2000,aspen,51...60,protected,4.4,kha
2000,aspen,61...70,protected,2.8,kha
2000,aspen,71...80,protected,0.6,kha
2000,aspen,81...90,protected,0.0,kha
2000,aspen,91...100,protected,0.5,kha
2000,aspen,clearcut,protected,0.6,kha
2000,aspen,unknown,protected,0.0,kha
2000,birch,...10,production,47.3,kha
2000,birch,101...110,production,0.6,kha
2000,birch,11...20,production,43.6,kha
2000,birch,111...120,production,0.0,kha
2000,birch,121...130,production,0.0,kha
2000,birch,131...140,production,0.0,kha
2000,birch,141...,production,0.0,kha
2000,birch,21...30,production,54.5,kha
2000,birch,31...40,production,104.5,kha
2000,birch,41...50,production,124.7,kha
2000,birch,51...60,production,111.7,kha
2000,birch,61...70,production,63.2,kha
2000,birch,71...80,production,26.3,kha
2000,birch,81...90,production,10.4,kha
2000,birch,91...100,production,2.8,kha
2000,birch,clearcut,production,17.7,kha
2000,birch,unknown,production,16.0,kha
2000,birch,...10,protected,6.2,kha
2000,birch,101...110,protected,1.1,kha
2000,birch,11...20,protected,1.6,kha
2000,birch,111...120,protected,0.0,kha
2000,birch,121...130,protected,0.0,kha
2000,birch,131...140,protected,0.0,kha
2000,birch,141...,protected,0.0,kha
2000,birch,21...30,protected,1.8,kha
2000,birch,31...40,protected,7.0,kha
2000,birch,41...50,protected,8.1,kha
2000,birch,51...60,protected,10.5,kha
2000,birch,61...70,protected,10.6,kha
2000,birch,71...80,protected,4.0,kha
2000,birch,81...90,protected,1.1,kha
2000,birch,91...100,protected,1.7,kha
2000,birch,clearcut,protected,0.6,kha
2000,birch,unknown,protected,2.7,kha
2000,black alder,...10,production,0.7,kha
2000,black alder,101...110,production,0.6,kha
2000,black alder,11...20,production,3.6,kha
2000,black alder,111...120,production,0.6,kha
2000,black alder,121...130,production,0.0,kha
2000,black alder,131...140,production,0.0,kha
2000,black alder,141...,production,0.0,kha
2000,black alder,21...30,production,2.9,kha
2000,black alder,31...40,production,10.1,kha
2000,black alder,41...50,production,15.5,kha
2000,black alder,51...60,production,11.1,kha
2000,black alder,61...70,production,5.7,kha
2000,black alder,71...80,production,1.7,kha
2000,black alder,81...90,production,0.6,kha
2000,black alder,91...100,production,0.0,kha
2000,black alder,clearcut,production,1.1,kha
2000,black alder,unknown,production,1.7,kha
2000,black alder,...10,protected,0.2,kha
2000,black alder,101...110,protected,0.0,kha
2000,black alder,11...20,protected,1.3,kha
2000,black alder,111...120,protected,0.0,kha
2000,black alder,121...130,protected,0.0,kha
2000,black alder,131...140,protected,0.0,kha
2000,black alder,141...,protected,0.0,kha
2000,black alder,21...30,protected,0.6,kha
2000,black alder,31...40,protected,0.6,kha
2000,black alder,41...50,protected,1.1,kha
2000,black alder,51...60,protected,1.6,kha
2000,black alder,61...70,protected,0.5,kha
2000,black alder,71...80,protected,1.1,kha
2000,black alder,81...90,protected,0.0,kha
2000,black alder,91...100,protected,0.0,kha
2000,black alder,clearcut,protected,0.0,kha
2000,black alder,unknown,protected,0.5,kha
2000,grey alder,...10,production,17.0,kha
2000,grey alder,101...110,production,0.0,kha
2000,grey alder,11...20,production,23.9,kha
2000,grey alder,111...120,production,0.0,kha
2000,grey alder,121...130,production,0.0,kha
2000,grey alder,131...140,production,0.0,kha
2000,grey alder,141...,production,0.0,kha
2000,grey alder,21...30,production,44.8,kha
2000,grey alder,31...40,production,52.8,kha
2000,grey alder,41...50,production,23.5,kha
2000,grey alder,51...60,production,4.7,kha
2000,grey alder,61...70,production,0.0,kha
2000,grey alder,71...80,production,0.0,kha
2000,grey alder,81...90,production,0.0,kha
2000,grey alder,91...100,production,0.0,kha
2000,grey alder,clearcut,production,2.1,kha
2000,grey alder,unknown,production,6.1,kha
2000,grey alder,...10,protected,0.0,kha
2000,grey alder,101...110,protected,0.0,kha
2000,grey alder,11...20,protected,0.7,kha
2000,grey alder,111...120,protected,0.0,kha
2000,grey alder,121...130,protected,0.0,kha
2000,grey alder,131...140,protected,0.0,kha
2000,grey alder,141...,protected,0.0,kha
2000,grey alder,21...30,protected,1.3,kha
2000,grey alder,31...40,protected,0.8,kha
2000,grey alder,41...50,protected,0.5,kha
2000,grey alder,51...60,protected,0.0,kha
2000,grey alder,61...70,protected,0.0,kha
2000,grey alder,71...80,protected,0.0,kha
2000,grey alder,81...90,protected,0.0,kha
2000,grey alder,91...100,protected,0.0,kha
2000,grey alder,clearcut,protected,0.0,kha
2000,grey alder,unknown,protected,0.0,kha
2000,other,...10,production,2.6,kha
2000,other,101...110,production,0.0,kha
2000,other,11...20,production,2.2,kha
2000,other,111...120,production,0.0,kha
2000,other,121...130,production,0.0,kha
2000,other,131...140,production,0.0,kha
2000,other,141...,production,0.0,kha
2000,other,21...30,production,3.5,kha
2000,other,31...40,production,6.2,kha
2000,other,41...50,production,2.3,kha
2000,other,51...60,production,3.4,kha
2000,other,61...70,production,2.2,kha
2000,other,71...80,production,3.9,kha
2000,other,81...90,production,0.0,kha
2000,other,91...100,production,0.6,kha
2000,other,clearcut,production,0.0,kha
2000,other,unknown,production,0.6,kha
2000,other,...10,protected,0.0,kha
2000,other,101...110,protected,0.0,kha
2000,other,11...20,protected,0.0,kha
2000,other,111...120,protected,0.0,kha
2000,other,121...130,protected,0.0,kha
2000,other,131...140,protected,0.0,kha
2000,other,141...,protected,0.0,kha
2000,other,21...30,protected,0.0,kha
2000,other,31...40,protected,0.0,kha
2000,other,41...50,protected,0.0,kha
2000,other,51...60,protected,1.6,kha
2000,other,61...70,protected,2.3,kha
2000,other,71...80,protected,0.6,kha
2000,other,81...90,protected,0.0,kha
2000,other,91...100,protected,0.5,kha
2000,other,clearcut,protected,0.6,kha
2000,other,unknown,protected,0.0,kha
2000,pine,...10,production,8.1,kha
2000,pine,101...110,production,17.1,kha
2000,pine,11...20,production,28.4,kha
2000,pine,111...120,production,18.5,kha
2000,pine,121...130,production,3.0,kha
2000,pine,131...140,production,2.2,kha
2000,pine,141...,production,9.0,kha
2000,pine,21...30,production,25.5,kha
2000,pine,31...40,production,51.8,kha
2000,pine,41...50,production,81.9,kha
2000,pine,51...60,production,90.2,kha
2000,pine,61...70,production,86.2,kha
2000,pine,71...80,production,80.8,kha
2000,pine,81...90,production,64.0,kha
2000,pine,91...100,production,42.5,kha
2000,pine,clearcut,production,13.4,kha
2000,pine,unknown,production,24.6,kha
2000,pine,...10,protected,0.8,kha
2000,pine,101...110,protected,4.5,kha
2000,pine,11...20,protected,2.4,kha
2000,pine,111...120,protected,6.6,kha
2000,pine,121...130,protected,4.5,kha
2000,pine,131...140,protected,5.4,kha
2000,pine,141...,protected,4.9,kha
2000,pine,21...30,protected,5.8,kha
