Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,0
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,0
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
