Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,0
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,0
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,6
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;0,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,0
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;1,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;2,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;101...110;3,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,0
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;2,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;3,9
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;4,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,0
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;7,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,5
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;7,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,8
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;5,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,3
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,3
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,3
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;91...100;6,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;10,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;10,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,0
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;11,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,1
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;12,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;14,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;13,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;13,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;13,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;15,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;15,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;15,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;17,4
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;19,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;20,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;18,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,7
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,0
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;81...90;16,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;24,3
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;26,3
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;28,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;31,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;33,8
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;35,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;39,9
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;42,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kask;71...80;41,2
