Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;15,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;15,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;16,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;16,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;15,7
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;15,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;6,2
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;7,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;7,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;8,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;8,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;10,8
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;12,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;14,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;14,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;16,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;15,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;16,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;16,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;17,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;15,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;15,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;12,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;10,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;12,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;13,6
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;16,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;16,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;18,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;18,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;17,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;17,4
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;19,4
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;25,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;24,5
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;22,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;22,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;21,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;17,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,7
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;19,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;20,0
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;20,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;19,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;19,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;21,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;24,3
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;23,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;23,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;25,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;26,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;28,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;29,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;30,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;32,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;23,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;21,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;20,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;25,5
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;29,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;30,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;33,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;33,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;34,0
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;33,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;34,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;32,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;31,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;30,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;35,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;35,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;37,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;36,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;36,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;35,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;37,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;35,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;33,1
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;34,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;35,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;37,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;49,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;47,8
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;45,0
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;46,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;55,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;53,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;55,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;61,7
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;62,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;58,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;62,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;60,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;56,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;54,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;55,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;53,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;53,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;55,5
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;57,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;57,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;57,0
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;58,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;58,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;60,1
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;62,8
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;72,4
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;76,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;68,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;68,8
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;66,1
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;63,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;61,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;62,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;63,4
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;66,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;67,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;66,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;66,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;68,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;70,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;77,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;78,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;78,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;78,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;78,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;74,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;73,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;74,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;78,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;73,4
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;81...90;74,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;81,8
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;92,5
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;89,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;90,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;91,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;97,9
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;94,7
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;91,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;87,1
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;83,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;88,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;90,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;93,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;93,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;96,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,5
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;97,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;97,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;95,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;93,9
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;94,7
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;71...80;96,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;99,8
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;103,7
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;92,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;93,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;94,6
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;96,1
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;96,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;103,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;109,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;107,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;112,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;109,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;112,1
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;114,0
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;119,8
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;115,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;112,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;109,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;106,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;104,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;101,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;96,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;91,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;84,9
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;79,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;61...70;74,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;99,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;95,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;92,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;86,1
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;85,1
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;86,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;83,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;89,8
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;98,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;101,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;101,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;99,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;93,5
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;90,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;91,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;89,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;89,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;86,7
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;83,6
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;78,0
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;74,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;72,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;70,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;66,7
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;64,7
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;51...60;62,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;87,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;92,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;91,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;90,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;91,7
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;90,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;86,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;89,0
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;87,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;79,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;77,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;77,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;69,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;66,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;66,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;64,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;61,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;58,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;54,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;52,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;52,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;47,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;45,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;45,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;43,0
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;41...50;40,9
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;52,8
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;56,0
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;59,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;58,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;60,0
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;58,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;61,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;60,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;55,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;31...40;51,6
