Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,035714230
Kokku;5A-5B;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,128066381
Kokku;5;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,098348317
Kokku;4;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,076988183
Kokku;3;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,056992461
Kokku;2;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,050206842
Kokku;1;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,063417209
Kokku;1A;Majandatav metsamaa;2005;Mänd;Suht.viga           (± %);0,113113172
Kokku;Kokku;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,044528612
Kokku;5;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,065077507
Kokku;4;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,108380722
Kokku;3;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,241247982
Kokku;2;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,335158100
Kokku;1;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,172283080
Kokku;1A;Majandatav metsamaa;2005;Mänd; Osakaal (%) ;0,033323997
Kokku;Kokku;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);577,865768699
Kokku;5A-5B;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);25,731560879
Kokku;5;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);37,606063395
Kokku;4;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);62,629509093
Kokku;3;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);139,408950475
Kokku;2;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);193,676392962
Kokku;1;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);99,556494708
Kokku;1A;Majandatav metsamaa;2005;Mänd;    Pindala      (tuh ha);19,256797188
Kokku;Kokku;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,035820295
Kokku;5A-5B;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,999851852
Kokku;5;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,706792974
Kokku;4;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,209797746
Kokku;3;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,092226397
Kokku;2;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,056516380
Kokku;1;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,047189607
Kokku;1A;Majandatav metsamaa;2005;Kuusk;Suht.viga           (± %);0,067950919
Kokku;Kokku;Majandatav metsamaa;2005;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2005;Kuusk; Osakaal (%) ;0,000635965
Kokku;5;Majandatav metsamaa;2005;Kuusk; Osakaal (%) ;0,001271929
Kokku;4;Majandatav metsamaa;2005;Kuusk; Osakaal (%) ;0,018732018
