Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
