Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;2,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;3,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;3,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;3,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;3,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;3,6
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;2,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,0
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,1
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;3,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;4,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,6
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;7,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;6,9
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,3
