Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,085053765
Kokku;5A-5B;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,151532813
Kokku;5;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,148303626
Kokku;4;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,139405755
Kokku;3;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,145086508
Kokku;2;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,131720040
Kokku;1;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,173194249
Kokku;1A;Mittemajandatavad metsad;2013;Mänd;Suht.viga           (± %);0,312991201
Kokku;Kokku;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,181636666
Kokku;5;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,135198856
Kokku;4;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,149682234
Kokku;3;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,175475611
Kokku;2;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,213270330
Kokku;1;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,115214926
Kokku;1A;Mittemajandatavad metsad;2013;Mänd; Osakaal (%) ;0,029521378
Kokku;Kokku;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);125,718003266
Kokku;5A-5B;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);22,834998925
Kokku;5;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);16,996930268
Kokku;4;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);18,817751521
Kokku;3;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);22,060443405
Kokku;2;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);26,811920014
Kokku;1;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);14,484590458
Kokku;1A;Mittemajandatavad metsad;2013;Mänd;    Pindala      (tuh ha);3,711368674
Kokku;Kokku;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,130106657
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,706384030
Kokku;3;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,290359833
Kokku;2;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,206757762
Kokku;1;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,170523824
Kokku;1A;Mittemajandatavad metsad;2013;Kuusk;Suht.viga           (± %);0,200544979
Kokku;Kokku;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;
Kokku;5;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;
Kokku;4;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;0,013927072
Kokku;3;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;0,094585015
Kokku;2;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;0,237078462
Kokku;1;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;0,412900786
Kokku;1A;Mittemajandatavad metsad;2013;Kuusk; Osakaal (%) ;0,241508664
Kokku;Kokku;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);29,774131490
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);
Kokku;5;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);
Kokku;4;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);0,414666481
Kokku;3;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);2,816186674
Kokku;2;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);7,058805311
Kokku;1;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);12,293762304
Kokku;1A;Mittemajandatavad metsad;2013;Kuusk;    Pindala      (tuh ha);7,190710719
Kokku;Kokku;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,109758764
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,470087297
Kokku;5;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,470898070
Kokku;4;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,234181652
Kokku;3;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,177169190
Kokku;2;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,164801196
Kokku;1;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,172248601
Kokku;1A;Mittemajandatavad metsad;2013;Kask;Suht.viga           (± %);0,288832072
Kokku;Kokku;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,018578123
Kokku;5;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,018578123
Kokku;4;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,111999145
Kokku;3;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,178855309
Kokku;2;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,349603125
Kokku;1;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,246594243
Kokku;1A;Mittemajandatavad metsad;2013;Kask; Osakaal (%) ;0,075791931
Kokku;Kokku;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);66,960447066
Kokku;5A-5B;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);1,243999444
Kokku;5;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);1,243999444
Kokku;4;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);7,499512847
Kokku;3;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);11,976231446
Kokku;2;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);23,409581535
Kokku;1;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);16,512060752
Kokku;1A;Mittemajandatavad metsad;2013;Kask;    Pindala      (tuh ha);5,075061598
Kokku;Kokku;Mittemajandatavad metsad;2013;Haab;Suht.viga           (± %);0,184035866
Kokku;5A-5B;Mittemajandatavad metsad;2013;Haab;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2013;Haab;Suht.viga           (± %);
Kokku;4;Mittemajandatavad metsad;2013;Haab;Suht.viga           (± %);1,000514244
