Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,5
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,5
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,8
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;0,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,1
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;1,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;0,6
