Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,2
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;0,1
