Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;5,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;5,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;5,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;5,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;6,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;5,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;6,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;8,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,7
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;6,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;7,0
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;6,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;3,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;3,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;3,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;4,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;4,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;5,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;7,9
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;11,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;11,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;12,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;12,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;11,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;6,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;5,4
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;6,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;8,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;10,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;9,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;8,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;7,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;6,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;15,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;15,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;15,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;14,0
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;12,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;13,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;13,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;14,3
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;14,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;14,8
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;12,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;12,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;12,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;13,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;14,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;17,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;17,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;15,6
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;16,3
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;18,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;18,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;17,1
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;15,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;19,2
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;21,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;22,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;24,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;27,9
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;28,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;28,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;26,9
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;28,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;26,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;25,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;24,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;28,0
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;25,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;26,1
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;24,7
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;25,5
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;23,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;24,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;21,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;19,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;20,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;101...110;18,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;29,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;42,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;41,8
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;38,8
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;38,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;44,8
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;42,0
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;42,8
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;47,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;47,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;91...100;45,1
