Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2024;Mänd;Suht.viga           (± %);0,026689752
Kokku;51...;2024;Mänd;Suht.viga           (± %);0,410100368
Kokku;49...50;2024;Mänd;Suht.viga           (± %);0,446777302
Kokku;47...48;2024;Mänd;Suht.viga           (± %);0,320425258
Kokku;45...46;2024;Mänd;Suht.viga           (± %);0,275171872
Kokku;43...44;2024;Mänd;Suht.viga           (± %);0,219913209
Kokku;41...42;2024;Mänd;Suht.viga           (± %);0,183677021
Kokku;39...40;2024;Mänd;Suht.viga           (± %);0,141499586
Kokku;37...38;2024;Mänd;Suht.viga           (± %);0,110647040
Kokku;35...36;2024;Mänd;Suht.viga           (± %);0,093951337
Kokku;33...34;2024;Mänd;Suht.viga           (± %);0,078865239
Kokku;31...32;2024;Mänd;Suht.viga           (± %);0,066659676
Kokku;29...30;2024;Mänd;Suht.viga           (± %);0,064047816
Kokku;27...28;2024;Mänd;Suht.viga           (± %);0,052548620
Kokku;25...26;2024;Mänd;Suht.viga           (± %);0,054787667
Kokku;23...24;2024;Mänd;Suht.viga           (± %);0,063028194
Kokku;21...22;2024;Mänd;Suht.viga           (± %);0,074336147
Kokku;19...20;2024;Mänd;Suht.viga           (± %);0,071252298
Kokku;17...18;2024;Mänd;Suht.viga           (± %);0,071185149
Kokku;15...16;2024;Mänd;Suht.viga           (± %);0,088183606
Kokku;13...14;2024;Mänd;Suht.viga           (± %);0,088220942
Kokku;11...12;2024;Mänd;Suht.viga           (± %);0,082259262
Kokku;9...10;2024;Mänd;Suht.viga           (± %);0,102430307
Kokku;7...8;2024;Mänd;Suht.viga           (± %);0,121082270
Kokku;5...6;2024;Mänd;Suht.viga           (± %);0,127200813
Kokku;3...4;2024;Mänd;Suht.viga           (± %);0,131627731
Kokku;   ...2;2024;Mänd;Suht.viga           (± %);0,118655368
Kokku;Kokku;2024;Mänd; Osakaal (%) ;1
Kokku;51...;2024;Mänd; Osakaal (%) ;0,001369515
Kokku;49...50;2024;Mänd; Osakaal (%) ;0,001199855
Kokku;47...48;2024;Mänd; Osakaal (%) ;0,002539590
Kokku;45...46;2024;Mänd; Osakaal (%) ;0,002859831
Kokku;43...44;2024;Mänd; Osakaal (%) ;0,004954419
Kokku;41...42;2024;Mänd; Osakaal (%) ;0,007873547
Kokku;39...40;2024;Mänd; Osakaal (%) ;0,012433717
Kokku;37...38;2024;Mänd; Osakaal (%) ;0,021299592
Kokku;35...36;2024;Mänd; Osakaal (%) ;0,034064349
Kokku;33...34;2024;Mänd; Osakaal (%) ;0,043169403
Kokku;31...32;2024;Mänd; Osakaal (%) ;0,065734939
Kokku;29...30;2024;Mänd; Osakaal (%) ;0,092785774
Kokku;27...28;2024;Mänd; Osakaal (%) ;0,116921776
Kokku;25...26;2024;Mänd; Osakaal (%) ;0,115996879
Kokku;23...24;2024;Mänd; Osakaal (%) ;0,070665505
Kokku;21...22;2024;Mänd; Osakaal (%) ;0,059810653
Kokku;19...20;2024;Mänd; Osakaal (%) ;0,052655748
Kokku;17...18;2024;Mänd; Osakaal (%) ;0,058402935
Kokku;15...16;2024;Mänd; Osakaal (%) ;0,044828947
Kokku;13...14;2024;Mänd; Osakaal (%) ;0,043165348
Kokku;11...12;2024;Mänd; Osakaal (%) ;0,043879646
Kokku;9...10;2024;Mänd; Osakaal (%) ;0,028282198
Kokku;7...8;2024;Mänd; Osakaal (%) ;0,021985237
Kokku;5...6;2024;Mänd; Osakaal (%) ;0,020161625
Kokku;3...4;2024;Mänd; Osakaal (%) ;0,015594304
Kokku;   ...2;2024;Mänd; Osakaal (%) ;0,017364667
Kokku;Kokku;2024;Mänd;    Pindala      (tuh ha);650,117918333
Kokku;51...;2024;Mänd;    Pindala      (tuh ha);0,890346170
Kokku;49...50;2024;Mänd;    Pindala      (tuh ha);0,780047459
Kokku;47...48;2024;Mänd;    Pindala      (tuh ha);1,651032852
Kokku;45...46;2024;Mänd;    Pindala      (tuh ha);1,859227519
Kokku;43...44;2024;Mänd;    Pindala      (tuh ha);3,220956369
Kokku;41...42;2024;Mänd;    Pindala      (tuh ha);5,118733833
Kokku;39...40;2024;Mänd;    Pindala      (tuh ha);8,083382207
Kokku;37...38;2024;Mänd;    Pindala      (tuh ha);13,847246491
Kokku;35...36;2024;Mänd;    Pindala      (tuh ha);22,145843793
Kokku;33...34;2024;Mänd;    Pindala      (tuh ha);28,065202737
Kokku;31...32;2024;Mänd;    Pindala      (tuh ha);42,735461702
Kokku;29...30;2024;Mänd;    Pindala      (tuh ha);60,321694079
Kokku;27...28;2024;Mänd;    Pindala      (tuh ha);76,012941563
Kokku;25...26;2024;Mänd;    Pindala      (tuh ha);75,411649779
Kokku;23...24;2024;Mänd;    Pindala      (tuh ha);45,940910727
Kokku;21...22;2024;Mänd;    Pindala      (tuh ha);38,883977370
Kokku;19...20;2024;Mänd;    Pindala      (tuh ha);34,232445163
Kokku;17...18;2024;Mänd;    Pindala      (tuh ha);37,968794489
Kokku;15...16;2024;Mänd;    Pindala      (tuh ha);29,144101979
Kokku;13...14;2024;Mänd;    Pindala      (tuh ha);28,062566177
Kokku;11...12;2024;Mänd;    Pindala      (tuh ha);28,526944030
Kokku;9...10;2024;Mänd;    Pindala      (tuh ha);18,386763883
Kokku;7...8;2024;Mänd;    Pindala      (tuh ha);14,292996811
Kokku;5...6;2024;Mänd;    Pindala      (tuh ha);13,107433880
Kokku;3...4;2024;Mänd;    Pindala      (tuh ha);10,138136422
Kokku;   ...2;2024;Mänd;    Pindala      (tuh ha);11,289080848
Kokku;Kokku;2024;Kuusk;Suht.viga           (± %);0,030020412
Kokku;51...;2024;Kuusk;Suht.viga           (± %);0,577315024
Kokku;49...50;2024;Kuusk;Suht.viga           (± %);0,577439350
Kokku;47...48;2024;Kuusk;Suht.viga           (± %);0,456443117
Kokku;45...46;2024;Kuusk;Suht.viga           (± %);0,377932113
Kokku;43...44;2024;Kuusk;Suht.viga           (± %);0,346313416
Kokku;41...42;2024;Kuusk;Suht.viga           (± %);0,309862188
Kokku;39...40;2024;Kuusk;Suht.viga           (± %);0,189419708
Kokku;37...38;2024;Kuusk;Suht.viga           (± %);0,137747505
Kokku;35...36;2024;Kuusk;Suht.viga           (± %);0,124595772
Kokku;33...34;2024;Kuusk;Suht.viga           (± %);0,122036367
Kokku;31...32;2024;Kuusk;Suht.viga           (± %);0,111629937
Kokku;29...30;2024;Kuusk;Suht.viga           (± %);0,091315592
Kokku;27...28;2024;Kuusk;Suht.viga           (± %);0,073970060
Kokku;25...26;2024;Kuusk;Suht.viga           (± %);0,077359369
Kokku;23...24;2024;Kuusk;Suht.viga           (± %);0,076007211
Kokku;21...22;2024;Kuusk;Suht.viga           (± %);0,091949165
Kokku;19...20;2024;Kuusk;Suht.viga           (± %);0,098619725
Kokku;17...18;2024;Kuusk;Suht.viga           (± %);0,087236666
Kokku;15...16;2024;Kuusk;Suht.viga           (± %);0,095473049
Kokku;13...14;2024;Kuusk;Suht.viga           (± %);0,100098771
Kokku;11...12;2024;Kuusk;Suht.viga           (± %);0,091412470
Kokku;9...10;2024;Kuusk;Suht.viga           (± %);0,123476325
Kokku;7...8;2024;Kuusk;Suht.viga           (± %);0,109013303
Kokku;5...6;2024;Kuusk;Suht.viga           (± %);0,110159849
Kokku;3...4;2024;Kuusk;Suht.viga           (± %);0,109229456
Kokku;   ...2;2024;Kuusk;Suht.viga           (± %);0,105380291
Kokku;Kokku;2024;Kuusk; Osakaal (%) ;1
Kokku;51...;2024;Kuusk; Osakaal (%) ;0,001304621
Kokku;49...50;2024;Kuusk; Osakaal (%) ;0,001304621
Kokku;47...48;2024;Kuusk; Osakaal (%) ;0,001874393
Kokku;45...46;2024;Kuusk; Osakaal (%) ;0,003044116
Kokku;43...44;2024;Kuusk; Osakaal (%) ;0,004348737
Kokku;41...42;2024;Kuusk; Osakaal (%) ;0,004364218
Kokku;39...40;2024;Kuusk; Osakaal (%) ;0,014733694
Kokku;37...38;2024;Kuusk; Osakaal (%) ;0,023171896
Kokku;35...36;2024;Kuusk; Osakaal (%) ;0,028219954
Kokku;33...34;2024;Kuusk; Osakaal (%) ;0,031016800
Kokku;31...32;2024;Kuusk; Osakaal (%) ;0,035715524
Kokku;29...30;2024;Kuusk; Osakaal (%) ;0,058089383
Kokku;27...28;2024;Kuusk; Osakaal (%) ;0,082769509
Kokku;25...26;2024;Kuusk; Osakaal (%) ;0,086599833
Kokku;23...24;2024;Kuusk; Osakaal (%) ;0,082258445
Kokku;21...22;2024;Kuusk; Osakaal (%) ;0,061063528
Kokku;19...20;2024;Kuusk; Osakaal (%) ;0,050430258
Kokku;17...18;2024;Kuusk; Osakaal (%) ;0,066670833
Kokku;15...16;2024;Kuusk; Osakaal (%) ;0,056046956
Kokku;13...14;2024;Kuusk; Osakaal (%) ;0,049496366
Kokku;11...12;2024;Kuusk; Osakaal (%) ;0,054868230
Kokku;9...10;2024;Kuusk; Osakaal (%) ;0,031113951
Kokku;7...8;2024;Kuusk; Osakaal (%) ;0,041295431
Kokku;5...6;2024;Kuusk; Osakaal (%) ;0,040725399
Kokku;3...4;2024;Kuusk; Osakaal (%) ;0,041827412
Kokku;   ...2;2024;Kuusk; Osakaal (%) ;0,047645892
Kokku;Kokku;2024;Kuusk;    Pindala      (tuh ha);358,746681587
Kokku;51...;2024;Kuusk;    Pindala      (tuh ha);0,468028476
Kokku;49...50;2024;Kuusk;    Pindala      (tuh ha);0,468028476
Kokku;47...48;2024;Kuusk;    Pindala      (tuh ha);0,672432112
Kokku;45...46;2024;Kuusk;    Pindala      (tuh ha);1,092066443
Kokku;43...44;2024;Kuusk;    Pindala      (tuh ha);1,560094919
Kokku;41...42;2024;Kuusk;    Pindala      (tuh ha);1,565648857
Kokku;39...40;2024;Kuusk;    Pindala      (tuh ha);5,285663989
Kokku;37...38;2024;Kuusk;    Pindala      (tuh ha);8,312840968
Kokku;35...36;2024;Kuusk;    Pindala      (tuh ha);10,123814751
Kokku;33...34;2024;Kuusk;    Pindala      (tuh ha);11,127174197
Kokku;31...32;2024;Kuusk;    Pindala      (tuh ha);12,812825555
Kokku;29...30;2024;Kuusk;    Pindala      (tuh ha);20,839373505
Kokku;27...28;2024;Kuusk;    Pindala      (tuh ha);29,693286592
Kokku;25...26;2024;Kuusk;    Pindala      (tuh ha);31,067402596
Kokku;23...24;2024;Kuusk;    Pindala      (tuh ha);29,509944238
Kokku;21...22;2024;Kuusk;    Pindala      (tuh ha);21,906338021
Kokku;19...20;2024;Kuusk;    Pindala      (tuh ha);18,091687531
Kokku;17...18;2024;Kuusk;    Pindala      (tuh ha);23,917940010
Kokku;15...16;2024;Kuusk;    Pindala      (tuh ha);20,106659325
Kokku;13...14;2024;Kuusk;    Pindala      (tuh ha);17,756657147
Kokku;11...12;2024;Kuusk;    Pindala      (tuh ha);19,683795597
Kokku;9...10;2024;Kuusk;    Pindala      (tuh ha);11,162026718
Kokku;7...8;2024;Kuusk;    Pindala      (tuh ha);14,814598947
Kokku;5...6;2024;Kuusk;    Pindala      (tuh ha);14,610101705
Kokku;3...4;2024;Kuusk;    Pindala      (tuh ha);15,005445358
Kokku;   ...2;2024;Kuusk;    Pindala      (tuh ha);17,092805557
Kokku;Kokku;2024;Kask;Suht.viga           (± %);0,021930952
Kokku;51...;2024;Kask;Suht.viga           (± %);0,999821114
Kokku;49...50;2024;Kask;Suht.viga           (± %);
Kokku;47...48;2024;Kask;Suht.viga           (± %);0,509480533
Kokku;45...46;2024;Kask;Suht.viga           (± %);0,577366829
Kokku;43...44;2024;Kask;Suht.viga           (± %);0,447234975
Kokku;41...42;2024;Kask;Suht.viga           (± %);0,363228707
Kokku;39...40;2024;Kask;Suht.viga           (± %);0,353434480
Kokku;37...38;2024;Kask;Suht.viga           (± %);0,195129249
Kokku;35...36;2024;Kask;Suht.viga           (± %);0,167712760
Kokku;33...34;2024;Kask;Suht.viga           (± %);0,139673465
Kokku;31...32;2024;Kask;Suht.viga           (± %);0,113044524
Kokku;29...30;2024;Kask;Suht.viga           (± %);0,106698618
Kokku;27...28;2024;Kask;Suht.viga           (± %);0,079825270
Kokku;25...26;2024;Kask;Suht.viga           (± %);0,059650942
Kokku;23...24;2024;Kask;Suht.viga           (± %);0,065319753
Kokku;21...22;2024;Kask;Suht.viga           (± %);0,063289765
Kokku;19...20;2024;Kask;Suht.viga           (± %);0,060134864
Kokku;17...18;2024;Kask;Suht.viga           (± %);0,060022131
Kokku;15...16;2024;Kask;Suht.viga           (± %);0,057121699
Kokku;13...14;2024;Kask;Suht.viga           (± %);0,060795220
Kokku;11...12;2024;Kask;Suht.viga           (± %);0,061175542
Kokku;9...10;2024;Kask;Suht.viga           (± %);0,072995072
Kokku;7...8;2024;Kask;Suht.viga           (± %);0,072438629
Kokku;5...6;2024;Kask;Suht.viga           (± %);0,088152602
Kokku;3...4;2024;Kask;Suht.viga           (± %);0,080415257
Kokku;   ...2;2024;Kask;Suht.viga           (± %);0,065291559
Kokku;Kokku;2024;Kask; Osakaal (%) ;1
Kokku;51...;2024;Kask; Osakaal (%) ;0,000241963
Kokku;49...50;2024;Kask; Osakaal (%) ;
Kokku;47...48;2024;Kask; Osakaal (%) ;0,000824272
Kokku;45...46;2024;Kask; Osakaal (%) ;0,000725889
Kokku;43...44;2024;Kask; Osakaal (%) ;0,001209816
Kokku;41...42;2024;Kask; Osakaal (%) ;0,001718785
Kokku;39...40;2024;Kask; Osakaal (%) ;0,001935705
Kokku;37...38;2024;Kask; Osakaal (%) ;0,006769354
Kokku;35...36;2024;Kask; Osakaal (%) ;0,008469169
Kokku;33...34;2024;Kask; Osakaal (%) ;0,012032825
Kokku;31...32;2024;Kask; Osakaal (%) ;0,018687513
Kokku;29...30;2024;Kask; Osakaal (%) ;0,022835898
Kokku;27...28;2024;Kask; Osakaal (%) ;0,049538003
Kokku;25...26;2024;Kask; Osakaal (%) ;0,069103164
Kokku;23...24;2024;Kask; Osakaal (%) ;0,070340080
Kokku;21...22;2024;Kask; Osakaal (%) ;0,071570994
Kokku;19...20;2024;Kask; Osakaal (%) ;0,078473113
Kokku;17...18;2024;Kask; Osakaal (%) ;0,091660103
Kokku;15...16;2024;Kask; Osakaal (%) ;0,090766605
Kokku;13...14;2024;Kask; Osakaal (%) ;0,084616411
Kokku;11...12;2024;Kask; Osakaal (%) ;0,074466785
Kokku;9...10;2024;Kask; Osakaal (%) ;0,047952612
Kokku;7...8;2024;Kask; Osakaal (%) ;0,049218805
Kokku;5...6;2024;Kask; Osakaal (%) ;0,034048831
Kokku;3...4;2024;Kask; Osakaal (%) ;0,044161123
Kokku;   ...2;2024;Kask; Osakaal (%) ;0,068632183
Kokku;Kokku;2024;Kask;    Pindala      (tuh ha);644,765607089
Kokku;51...;2024;Kask;    Pindala      (tuh ha);0,156009492
Kokku;49...50;2024;Kask;    Pindala      (tuh ha);
Kokku;47...48;2024;Kask;    Pindala      (tuh ha);0,531461935
Kokku;45...46;2024;Kask;    Pindala      (tuh ha);0,468028476
Kokku;43...44;2024;Kask;    Pindala      (tuh ha);0,780047459
Kokku;41...42;2024;Kask;    Pindala      (tuh ha);1,108213426
Kokku;39...40;2024;Kask;    Pindala      (tuh ha);1,248075935
Kokku;37...38;2024;Kask;    Pindala      (tuh ha);4,364646353
Kokku;35...36;2024;Kask;    Pindala      (tuh ha);5,460628634
Kokku;33...34;2024;Kask;    Pindala      (tuh ha);7,758352032
Kokku;31...32;2024;Kask;    Pindala      (tuh ha);12,049065487
Kokku;29...30;2024;Kask;    Pindala      (tuh ha);14,723801422
Kokku;27...28;2024;Kask;    Pindala      (tuh ha);31,940400511
Kokku;25...26;2024;Kask;    Pindala      (tuh ha);44,555343627
Kokku;23...24;2024;Kask;    Pindala      (tuh ha);45,352864149
Kokku;21...22;2024;Kask;    Pindala      (tuh ha);46,146515636
Kokku;19...20;2024;Kask;    Pindala      (tuh ha);50,596764397
Kokku;17...18;2024;Kask;    Pindala      (tuh ha);59,099281706
Kokku;15...16;2024;Kask;    Pindala      (tuh ha);58,523185455
Kokku;13...14;2024;Kask;    Pindala      (tuh ha);54,557751791
Kokku;11...12;2024;Kask;    Pindala      (tuh ha);48,013621634
