Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,034332973
Kokku;5A-5B;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,129150170
Kokku;5;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,088003764
Kokku;4;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,073152720
Kokku;3;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,053101957
Kokku;2;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,050769405
Kokku;1;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,067574474
Kokku;1A;Majandatav metsamaa;2003;Mänd;Suht.viga           (± %);0,117079755
Kokku;Kokku;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,041359953
Kokku;5;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,073538817
Kokku;4;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,126661938
Kokku;3;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,266422656
Kokku;2;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,301663056
Kokku;1;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,160515747
Kokku;1A;Majandatav metsamaa;2003;Mänd; Osakaal (%) ;0,029837833
Kokku;Kokku;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);572,759472166
Kokku;5A-5B;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);23,689304921
Kokku;5;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);42,120053909
Kokku;4;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);72,546824752
Kokku;3;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);152,596099837
Kokku;2;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);172,780372533
Kokku;1;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);91,936914658
Kokku;1A;Majandatav metsamaa;2003;Mänd;    Pindala      (tuh ha);17,089901556
Kokku;Kokku;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,036379973
Kokku;5A-5B;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,999926170
Kokku;5;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,706467759
Kokku;4;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,192608233
Kokku;3;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,091509351
Kokku;2;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,056085735
Kokku;1;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,048579836
Kokku;1A;Majandatav metsamaa;2003;Kuusk;Suht.viga           (± %);0,069578761
Kokku;Kokku;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,000640227
Kokku;5;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,001280453
Kokku;4;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,020818247
Kokku;3;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,105083136
Kokku;2;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,283003438
Kokku;1;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,416636645
Kokku;1A;Majandatav metsamaa;2003;Kuusk; Osakaal (%) ;0,172537854
Kokku;Kokku;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);342,132969170
Kokku;5A-5B;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);0,219042610
Kokku;5;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);0,438085220
Kokku;4;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);7,122608543
Kokku;3;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);35,952405431
Kokku;2;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);96,824806687
Kokku;1;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);142,545132548
Kokku;1A;Majandatav metsamaa;2003;Kuusk;    Pindala      (tuh ha);59,030888131
Kokku;Kokku;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,029148071
Kokku;5A-5B;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,331427913
Kokku;5;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,168124381
Kokku;4;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,094895762
Kokku;3;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,055800748
Kokku;2;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,041533773
Kokku;1;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,049272176
Kokku;1A;Majandatav metsamaa;2003;Kask;Suht.viga           (± %);0,102952950
Kokku;Kokku;Majandatav metsamaa;2003;Kask; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,002894432
Kokku;5;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,018202503
Kokku;4;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,072748830
Kokku;3;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,237039530
Kokku;2;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,386725036
Kokku;1;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,230899319
Kokku;1A;Majandatav metsamaa;2003;Kask; Osakaal (%) ;0,051490350
Kokku;Kokku;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);605,417914832
Kokku;5A-5B;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);1,752340878
Kokku;5;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);11,020121317
Kokku;4;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);44,043445161
Kokku;3;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);143,507978148
Kokku;2;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);234,130264774
Kokku;1;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);139,790584112
Kokku;1A;Majandatav metsamaa;2003;Kask;    Pindala      (tuh ha);31,173180441
Kokku;Kokku;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,056463680
Kokku;5A-5B;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);
Kokku;5;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);
Kokku;4;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,999422238
Kokku;3;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,207394541
Kokku;2;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,100065173
Kokku;1;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,072094511
Kokku;1A;Majandatav metsamaa;2003;Haab;Suht.viga           (± %);0,135918944
Kokku;Kokku;Majandatav metsamaa;2003;Haab; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;2003;Haab; Osakaal (%) ;
Kokku;5;Majandatav metsamaa;2003;Haab; Osakaal (%) ;
Kokku;4;Majandatav metsamaa;2003;Haab; Osakaal (%) ;0,001227114
Kokku;3;Majandatav metsamaa;2003;Haab; Osakaal (%) ;0,045025615
Kokku;2;Majandatav metsamaa;2003;Haab; Osakaal (%) ;0,298067295
Kokku;1;Majandatav metsamaa;2003;Haab; Osakaal (%) ;0,498545028
Kokku;1A;Majandatav metsamaa;2003;Haab; Osakaal (%) ;0,157134948
Kokku;Kokku;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);108,243760788
Kokku;5A-5B;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);
Kokku;5;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);
Kokku;4;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);0,132827439
Kokku;3;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);4,873741877
Kokku;2;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);32,263925021
Kokku;1;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);53,964388757
Kokku;1A;Majandatav metsamaa;2003;Haab;    Pindala      (tuh ha);17,008877694
Kokku;Kokku;Majandatav metsamaa;2003;Sanglepp;Suht.viga           (± %);0,077472457
Kokku;5A-5B;Majandatav metsamaa;2003;Sanglepp;Suht.viga           (± %);
Kokku;5;Majandatav metsamaa;2003;Sanglepp;Suht.viga           (± %);
