Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2022;Mänd;Suht.viga           (± %);0,026203819
Kokku;51...;2022;Mänd;Suht.viga           (± %);0,484133722
Kokku;49...50;2022;Mänd;Suht.viga           (± %);0,430461780
Kokku;47...48;2022;Mänd;Suht.viga           (± %);0,353377355
Kokku;45...46;2022;Mänd;Suht.viga           (± %);0,334109931
Kokku;43...44;2022;Mänd;Suht.viga           (± %);0,256536629
Kokku;41...42;2022;Mänd;Suht.viga           (± %);0,189341934
Kokku;39...40;2022;Mänd;Suht.viga           (± %);0,140849447
Kokku;37...38;2022;Mänd;Suht.viga           (± %);0,104930581
Kokku;35...36;2022;Mänd;Suht.viga           (± %);0,098258083
Kokku;33...34;2022;Mänd;Suht.viga           (± %);0,080585528
Kokku;31...32;2022;Mänd;Suht.viga           (± %);0,068436459
Kokku;29...30;2022;Mänd;Suht.viga           (± %);0,063161264
Kokku;27...28;2022;Mänd;Suht.viga           (± %);0,052199839
Kokku;25...26;2022;Mänd;Suht.viga           (± %);0,053787581
Kokku;23...24;2022;Mänd;Suht.viga           (± %);0,060823664
Kokku;21...22;2022;Mänd;Suht.viga           (± %);0,067639541
Kokku;19...20;2022;Mänd;Suht.viga           (± %);0,067666677
Kokku;17...18;2022;Mänd;Suht.viga           (± %);0,071944511
Kokku;15...16;2022;Mänd;Suht.viga           (± %);0,089733883
Kokku;13...14;2022;Mänd;Suht.viga           (± %);0,088718017
Kokku;11...12;2022;Mänd;Suht.viga           (± %);0,081672363
Kokku;9...10;2022;Mänd;Suht.viga           (± %);0,098487374
Kokku;7...8;2022;Mänd;Suht.viga           (± %);0,123753076
Kokku;5...6;2022;Mänd;Suht.viga           (± %);0,137586999
Kokku;3...4;2022;Mänd;Suht.viga           (± %);0,124749041
Kokku;   ...2;2022;Mänd;Suht.viga           (± %);0,120627897
Kokku;Kokku;2022;Mänd; Osakaal (%) ;1
Kokku;51...;2022;Mänd; Osakaal (%) ;0,001068662
Kokku;49...50;2022;Mänd; Osakaal (%) ;0,001233696
Kokku;47...48;2022;Mänd; Osakaal (%) ;0,001897483
Kokku;45...46;2022;Mänd; Osakaal (%) ;0,002044040
Kokku;43...44;2022;Mänd; Osakaal (%) ;0,003466701
Kokku;41...42;2022;Mänd; Osakaal (%) ;0,007032712
Kokku;39...40;2022;Mänd; Osakaal (%) ;0,013038815
Kokku;37...38;2022;Mänd; Osakaal (%) ;0,024248124
Kokku;35...36;2022;Mänd; Osakaal (%) ;0,031647738
Kokku;33...34;2022;Mänd; Osakaal (%) ;0,037036874
Kokku;31...32;2022;Mänd; Osakaal (%) ;0,063557020
Kokku;29...30;2022;Mänd; Osakaal (%) ;0,092667965
Kokku;27...28;2022;Mänd; Osakaal (%) ;0,115017681
Kokku;25...26;2022;Mänd; Osakaal (%) ;0,114644303
Kokku;23...24;2022;Mänd; Osakaal (%) ;0,080776582
Kokku;21...22;2022;Mänd; Osakaal (%) ;0,063273915
Kokku;19...20;2022;Mänd; Osakaal (%) ;0,055771339
Kokku;17...18;2022;Mänd; Osakaal (%) ;0,053031777
Kokku;15...16;2022;Mänd; Osakaal (%) ;0,043227815
Kokku;13...14;2022;Mänd; Osakaal (%) ;0,042671307
Kokku;11...12;2022;Mänd; Osakaal (%) ;0,048542736
Kokku;9...10;2022;Mänd; Osakaal (%) ;0,031834569
Kokku;7...8;2022;Mänd; Osakaal (%) ;0,019798574
Kokku;5...6;2022;Mänd; Osakaal (%) ;0,018727397
Kokku;3...4;2022;Mänd; Osakaal (%) ;0,016334885
Kokku;   ...2;2022;Mänd; Osakaal (%) ;0,017407295
Kokku;Kokku;2022;Mänd;    Pindala      (tuh ha);658,328299711
Kokku;51...;2022;Mänd;    Pindala      (tuh ha);0,703530677
Kokku;49...50;2022;Mänd;    Pindala      (tuh ha);0,812176949
Kokku;47...48;2022;Mänd;    Pindala      (tuh ha);1,249166684
Kokku;45...46;2022;Mänd;    Pindala      (tuh ha);1,345649196
Kokku;43...44;2022;Mänd;    Pindala      (tuh ha);2,282227532
Kokku;41...42;2022;Mänd;    Pindala      (tuh ha);4,629833326
Kokku;39...40;2022;Mänd;    Pindala      (tuh ha);8,583820631
Kokku;37...38;2022;Mänd;    Pindala      (tuh ha);15,963225975
Kokku;35...36;2022;Mänd;    Pindala      (tuh ha);20,834601293
Kokku;33...34;2022;Mänd;    Pindala      (tuh ha);24,382422052
Kokku;31...32;2022;Mänd;    Pindala      (tuh ha);41,841384600
Kokku;29...30;2022;Mänd;    Pindala      (tuh ha);61,005943724
Kokku;27...28;2022;Mänd;    Pindala      (tuh ha);75,719394046
Kokku;25...26;2022;Mänd;    Pindala      (tuh ha);75,473589271
Kokku;23...24;2022;Mänd;    Pindala      (tuh ha);53,177509801
Kokku;21...22;2022;Mänd;    Pindala      (tuh ha);41,655008931
Kokku;19...20;2022;Mänd;    Pindala      (tuh ha);36,715850705
Kokku;17...18;2022;Mänd;    Pindala      (tuh ha);34,912319461
Kokku;15...16;2022;Mänd;    Pindala      (tuh ha);28,458093807
Kokku;13...14;2022;Mänd;    Pindala      (tuh ha);28,091728833
Kokku;11...12;2022;Mänd;    Pindala      (tuh ha);31,957056533
Kokku;9...10;2022;Mänd;    Pindala      (tuh ha);20,957597368
Kokku;7...8;2022;Mänd;    Pindala      (tuh ha);13,033961329
Kokku;5...6;2022;Mänd;    Pindala      (tuh ha);12,328775507
Kokku;3...4;2022;Mänd;    Pindala      (tuh ha);10,753716849
Kokku;   ...2;2022;Mänd;    Pindala      (tuh ha);11,459714630
Kokku;Kokku;2022;Kuusk;Suht.viga           (± %);0,029342877
Kokku;51...;2022;Kuusk;Suht.viga           (± %);0,577315085
Kokku;49...50;2022;Kuusk;Suht.viga           (± %);1,000009621
Kokku;47...48;2022;Kuusk;Suht.viga           (± %);0,456566466
Kokku;45...46;2022;Kuusk;Suht.viga           (± %);0,333335254
Kokku;43...44;2022;Kuusk;Suht.viga           (± %);0,327505253
Kokku;41...42;2022;Kuusk;Suht.viga           (± %);0,248272873
Kokku;39...40;2022;Kuusk;Suht.viga           (± %);0,182342857
Kokku;37...38;2022;Kuusk;Suht.viga           (± %);0,142991002
Kokku;35...36;2022;Kuusk;Suht.viga           (± %);0,128340919
Kokku;33...34;2022;Kuusk;Suht.viga           (± %);0,126025659
Kokku;31...32;2022;Kuusk;Suht.viga           (± %);0,114100948
Kokku;29...30;2022;Kuusk;Suht.viga           (± %);0,087484582
Kokku;27...28;2022;Kuusk;Suht.viga           (± %);0,075060151
Kokku;25...26;2022;Kuusk;Suht.viga           (± %);0,073086165
Kokku;23...24;2022;Kuusk;Suht.viga           (± %);0,078742426
Kokku;21...22;2022;Kuusk;Suht.viga           (± %);0,084818184
Kokku;19...20;2022;Kuusk;Suht.viga           (± %);0,098719182
Kokku;17...18;2022;Kuusk;Suht.viga           (± %);0,086463308
