Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;131...140;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;121...130;0,2
