Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2021;Mänd;Suht.viga           (± %);0,026301606
Kokku;51...;2021;Mänd;Suht.viga           (± %);0,484134612
Kokku;49...50;2021;Mänd;Suht.viga           (± %);0,459016953
Kokku;47...48;2021;Mänd;Suht.viga           (± %);0,394798334
Kokku;45...46;2021;Mänd;Suht.viga           (± %);0,319706321
Kokku;43...44;2021;Mänd;Suht.viga           (± %);0,301444975
Kokku;41...42;2021;Mänd;Suht.viga           (± %);0,184884612
Kokku;39...40;2021;Mänd;Suht.viga           (± %);0,131263257
Kokku;37...38;2021;Mänd;Suht.viga           (± %);0,101301243
Kokku;35...36;2021;Mänd;Suht.viga           (± %);0,100926882
Kokku;33...34;2021;Mänd;Suht.viga           (± %);0,085920131
Kokku;31...32;2021;Mänd;Suht.viga           (± %);0,070069376
Kokku;29...30;2021;Mänd;Suht.viga           (± %);0,060041415
Kokku;27...28;2021;Mänd;Suht.viga           (± %);0,051617295
Kokku;25...26;2021;Mänd;Suht.viga           (± %);0,053105275
Kokku;23...24;2021;Mänd;Suht.viga           (± %);0,060567601
Kokku;21...22;2021;Mänd;Suht.viga           (± %);0,063206521
Kokku;19...20;2021;Mänd;Suht.viga           (± %);0,066570176
Kokku;17...18;2021;Mänd;Suht.viga           (± %);0,073498010
Kokku;15...16;2021;Mänd;Suht.viga           (± %);0,091167653
Kokku;13...14;2021;Mänd;Suht.viga           (± %);0,091339771
Kokku;11...12;2021;Mänd;Suht.viga           (± %);0,086070377
Kokku;9...10;2021;Mänd;Suht.viga           (± %);0,097809102
Kokku;7...8;2021;Mänd;Suht.viga           (± %);0,124035137
Kokku;5...6;2021;Mänd;Suht.viga           (± %);0,133359323
Kokku;3...4;2021;Mänd;Suht.viga           (± %);0,140600717
Kokku;   ...2;2021;Mänd;Suht.viga           (± %);0,128781814
Kokku;Kokku;2021;Mänd; Osakaal (%) ;1
Kokku;51...;2021;Mänd; Osakaal (%) ;0,001057273
Kokku;49...50;2021;Mänd; Osakaal (%) ;0,000985890
Kokku;47...48;2021;Mänd; Osakaal (%) ;0,001877260
Kokku;45...46;2021;Mänd; Osakaal (%) ;0,002234455
Kokku;43...44;2021;Mänd; Osakaal (%) ;0,002434993
Kokku;41...42;2021;Mänd; Osakaal (%) ;0,007013887
Kokku;39...40;2021;Mänd; Osakaal (%) ;0,013460678
Kokku;37...38;2021;Mänd; Osakaal (%) ;0,024415825
Kokku;35...36;2021;Mänd; Osakaal (%) ;0,028938026
Kokku;33...34;2021;Mänd; Osakaal (%) ;0,036567068
Kokku;31...32;2021;Mänd; Osakaal (%) ;0,057404179
Kokku;29...30;2021;Mänd; Osakaal (%) ;0,095985405
Kokku;27...28;2021;Mänd; Osakaal (%) ;0,116662527
Kokku;25...26;2021;Mänd; Osakaal (%) ;0,114790970
Kokku;23...24;2021;Mänd; Osakaal (%) ;0,086771065
Kokku;21...22;2021;Mänd; Osakaal (%) ;0,066136627
Kokku;19...20;2021;Mänd; Osakaal (%) ;0,056933644
Kokku;17...18;2021;Mänd; Osakaal (%) ;0,051902236
Kokku;15...16;2021;Mänd; Osakaal (%) ;0,043069918
Kokku;13...14;2021;Mänd; Osakaal (%) ;0,039670741
Kokku;11...12;2021;Mänd; Osakaal (%) ;0,049982199
Kokku;9...10;2021;Mänd; Osakaal (%) ;0,030426129
Kokku;7...8;2021;Mänd; Osakaal (%) ;0,022823721
Kokku;5...6;2021;Mänd; Osakaal (%) ;0,019348890
Kokku;3...4;2021;Mänd; Osakaal (%) ;0,014895984
Kokku;   ...2;2021;Mänd; Osakaal (%) ;0,014210409
Kokku;Kokku;2021;Mänd;    Pindala      (tuh ha);665,765335472
Kokku;51...;2021;Mänd;    Pindala      (tuh ha);0,703895420
Kokku;49...50;2021;Mänd;    Pindala      (tuh ha);0,656371231
Kokku;47...48;2021;Mänd;    Pindala      (tuh ha);1,249814312
Kokku;45...46;2021;Mänd;    Pindala      (tuh ha);1,487622730
Kokku;43...44;2021;Mänd;    Pindala      (tuh ha);1,621134144
Kokku;41...42;2021;Mänd;    Pindala      (tuh ha);4,669603100
Kokku;39...40;2021;Mänd;    Pindala      (tuh ha);8,961652918
Kokku;37...38;2021;Mänd;    Pindala      (tuh ha);16,255209920
Kokku;35...36;2021;Mänd;    Pindala      (tuh ha);19,265934484
Kokku;33...34;2021;Mänd;    Pindala      (tuh ha);24,345086111
Kokku;31...32;2021;Mänd;    Pindala      (tuh ha);38,217712518
Kokku;29...30;2021;Mänd;    Pindala      (tuh ha);63,903755649
Kokku;27...28;2021;Mänd;    Pindala      (tuh ha);77,669866631
Kokku;25...26;2021;Mänd;    Pindala      (tuh ha);76,423848630
Kokku;23...24;2021;Mänd;    Pindala      (tuh ha);57,769167081
Kokku;21...22;2021;Mänd;    Pindala      (tuh ha);44,031473752
Kokku;19...20;2021;Mänd;    Pindala      (tuh ha);37,904446560
Kokku;17...18;2021;Mänd;    Pindala      (tuh ha);34,554709865
Kokku;15...16;2021;Mänd;    Pindala      (tuh ha);28,674458509
Kokku;13...14;2021;Mänd;    Pindala      (tuh ha);26,411404112
Kokku;11...12;2021;Mänd;    Pindala      (tuh ha);33,276415409
Kokku;9...10;2021;Mänd;    Pindala      (tuh ha);20,256662289
Kokku;7...8;2021;Mänd;    Pindala      (tuh ha);15,195242402
Kokku;5...6;2021;Mänd;    Pindala      (tuh ha);12,881820489
Kokku;3...4;2021;Mänd;    Pindala      (tuh ha);9,917229696
Kokku;   ...2;2021;Mänd;    Pindala      (tuh ha);9,460797509
Kokku;Kokku;2021;Kuusk;Suht.viga           (± %);0,029249247
Kokku;51...;2021;Kuusk;Suht.viga           (± %);0,707057424
Kokku;49...50;2021;Kuusk;Suht.viga           (± %);0,707120958
Kokku;47...48;2021;Kuusk;Suht.viga           (± %);0,415717318
Kokku;45...46;2021;Kuusk;Suht.viga           (± %);0,323915444
Kokku;43...44;2021;Kuusk;Suht.viga           (± %);0,346356097
Kokku;41...42;2021;Kuusk;Suht.viga           (± %);0,257949606
Kokku;39...40;2021;Kuusk;Suht.viga           (± %);0,185857267
Kokku;37...38;2021;Kuusk;Suht.viga           (± %);0,133351234
Kokku;35...36;2021;Kuusk;Suht.viga           (± %);0,135497054
Kokku;33...34;2021;Kuusk;Suht.viga           (± %);0,117658568
Kokku;31...32;2021;Kuusk;Suht.viga           (± %);0,109708024
Kokku;29...30;2021;Kuusk;Suht.viga           (± %);0,087686593
Kokku;27...28;2021;Kuusk;Suht.viga           (± %);0,073288910
Kokku;25...26;2021;Kuusk;Suht.viga           (± %);0,073184419
Kokku;23...24;2021;Kuusk;Suht.viga           (± %);0,083788931
Kokku;21...22;2021;Kuusk;Suht.viga           (± %);0,082395323
Kokku;19...20;2021;Kuusk;Suht.viga           (± %);0,097937251
Kokku;17...18;2021;Kuusk;Suht.viga           (± %);0,086485148
Kokku;15...16;2021;Kuusk;Suht.viga           (± %);0,095991179
Kokku;13...14;2021;Kuusk;Suht.viga           (± %);0,100323927
Kokku;11...12;2021;Kuusk;Suht.viga           (± %);0,099732496
Kokku;9...10;2021;Kuusk;Suht.viga           (± %);0,113318832
Kokku;7...8;2021;Kuusk;Suht.viga           (± %);0,111436624
Kokku;5...6;2021;Kuusk;Suht.viga           (± %);0,115907437
Kokku;3...4;2021;Kuusk;Suht.viga           (± %);0,106787165
Kokku;   ...2;2021;Kuusk;Suht.viga           (± %);0,110620920
Kokku;Kokku;2021;Kuusk; Osakaal (%) ;1
Kokku;51...;2021;Kuusk; Osakaal (%) ;0,000851061
Kokku;49...50;2021;Kuusk; Osakaal (%) ;0,000851061
Kokku;47...48;2021;Kuusk; Osakaal (%) ;0,002259651
Kokku;45...46;2021;Kuusk; Osakaal (%) ;0,004255304
Kokku;43...44;2021;Kuusk; Osakaal (%) ;0,004255304
Kokku;41...42;2021;Kuusk; Osakaal (%) ;0,006055425
Kokku;39...40;2021;Kuusk; Osakaal (%) ;0,016867131
Kokku;37...38;2021;Kuusk; Osakaal (%) ;0,024449104
Kokku;35...36;2021;Kuusk; Osakaal (%) ;0,024739018
Kokku;33...34;2021;Kuusk; Osakaal (%) ;0,032593586
Kokku;31...32;2021;Kuusk; Osakaal (%) ;0,038196034
Kokku;29...30;2021;Kuusk; Osakaal (%) ;0,057444688
Kokku;27...28;2021;Kuusk; Osakaal (%) ;0,091600651
Kokku;25...26;2021;Kuusk; Osakaal (%) ;0,087908196
Kokku;23...24;2021;Kuusk; Osakaal (%) ;0,072826718
Kokku;21...22;2021;Kuusk; Osakaal (%) ;0,078388060
Kokku;19...20;2021;Kuusk; Osakaal (%) ;0,055266058
Kokku;17...18;2021;Kuusk; Osakaal (%) ;0,062120161
Kokku;15...16;2021;Kuusk; Osakaal (%) ;0,054251168
Kokku;13...14;2021;Kuusk; Osakaal (%) ;0,049590759
Kokku;11...12;2021;Kuusk; Osakaal (%) ;0,047207576
Kokku;9...10;2021;Kuusk; Osakaal (%) ;0,032871755
Kokku;7...8;2021;Kuusk; Osakaal (%) ;0,035220895
Kokku;5...6;2021;Kuusk; Osakaal (%) ;0,039845730
Kokku;3...4;2021;Kuusk; Osakaal (%) ;0,039135903
Kokku;   ...2;2021;Kuusk; Osakaal (%) ;0,040949003
Kokku;Kokku;2021;Kuusk;    Pindala      (tuh ha);367,134266385
Kokku;51...;2021;Kuusk;    Pindala      (tuh ha);0,312453578
Kokku;49...50;2021;Kuusk;    Pindala      (tuh ha);0,312453578
Kokku;47...48;2021;Kuusk;    Pindala      (tuh ha);0,829595495
Kokku;45...46;2021;Kuusk;    Pindala      (tuh ha);1,562267890
Kokku;43...44;2021;Kuusk;    Pindala      (tuh ha);1,562267890
Kokku;41...42;2021;Kuusk;    Pindala      (tuh ha);2,223154075
Kokku;39...40;2021;Kuusk;    Pindala      (tuh ha);6,192501839
Kokku;37...38;2021;Kuusk;    Pindala      (tuh ha);8,976103896
Kokku;35...36;2021;Kuusk;    Pindala      (tuh ha);9,082541208
Kokku;33...34;2021;Kuusk;    Pindala      (tuh ha);11,966222147
Kokku;31...32;2021;Kuusk;    Pindala      (tuh ha);14,023072805
Kokku;29...30;2021;Kuusk;    Pindala      (tuh ha);21,089913490
Kokku;27...28;2021;Kuusk;    Pindala      (tuh ha);33,629737915
Kokku;25...26;2021;Kuusk;    Pindala      (tuh ha);32,274111199
Kokku;23...24;2021;Kuusk;    Pindala      (tuh ha);26,737183835
Kokku;21...22;2021;Kuusk;    Pindala      (tuh ha);28,778942986
Kokku;19...20;2021;Kuusk;    Pindala      (tuh ha);20,290063576
Kokku;17...18;2021;Kuusk;    Pindala      (tuh ha);22,806439712
Kokku;15...16;2021;Kuusk;    Pindala      (tuh ha);19,917462685
Kokku;13...14;2021;Kuusk;    Pindala      (tuh ha);18,206466892
Kokku;11...12;2021;Kuusk;    Pindala      (tuh ha);17,331518760
