Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,059085900
Kokku;5A-5B;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,120510025
Kokku;5;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,108763654
Kokku;4;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,108234557
Kokku;3;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,088561875
Kokku;2;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,099642233
Kokku;1;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,100952279
Kokku;1A;Mittemajandatavad metsad;2022;Mänd;Suht.viga           (± %);0,211698692
Kokku;Kokku;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,148576073
Kokku;5;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,122957872
Kokku;4;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,163001510
Kokku;3;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,188735191
Kokku;2;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,200024673
Kokku;1;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,152065189
Kokku;1A;Mittemajandatavad metsad;2022;Mänd; Osakaal (%) ;0,024639493
Kokku;Kokku;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);188,084825993
Kokku;5A-5B;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);27,944904904
Kokku;5;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);23,126509867
Kokku;4;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);30,658110557
Kokku;3;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);35,498225479
Kokku;2;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);37,621605853
Kokku;1;Mittemajandatavad metsad;2022;Mänd;    Pindala      (tuh ha);28,601154622
