Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;131...140;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,4
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,3
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;121...130;0,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,4
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,4
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kask;111...120;0,7
