Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;
