Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,090437093
Kokku;5A-5B;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,321804930
Kokku;5;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,235742122
Kokku;4;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,160196326
Kokku;3;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,138249264
Kokku;2;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,130148115
Kokku;1;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,167543510
Kokku;1A;Majandatav metsamaa;1999;Mänd;Suht.viga           (± %);0,269849105
Kokku;Kokku;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,040811340
Kokku;5;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,070663726
Kokku;4;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,132539113
Kokku;3;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,294887659
Kokku;2;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,242796318
Kokku;1;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,191840729
Kokku;1A;Majandatav metsamaa;1999;Mänd; Osakaal (%) ;0,026461114
Kokku;Kokku;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);571,728531641
Kokku;5A-5B;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);23,333007592
Kokku;5;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);40,400468553
Kokku;4;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);75,776392464
Kokku;3;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);168,595688556
Kokku;2;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);138,813582542
Kokku;1;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);109,680818112
Kokku;1A;Majandatav metsamaa;1999;Mänd;    Pindala      (tuh ha);15,128573821
Kokku;Kokku;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,097689494
Kokku;5A-5B;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);
Kokku;5;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);
Kokku;4;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,469867007
Kokku;3;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,247899678
Kokku;2;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,156183412
Kokku;1;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,117518298
Kokku;1A;Majandatav metsamaa;1999;Kuusk;Suht.viga           (± %);0,167246971
Kokku;Kokku;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;
Kokku;5;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;
Kokku;4;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;0,019523136
Kokku;3;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;0,072327554
Kokku;2;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;0,260979437
Kokku;1;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;0,472958212
Kokku;1A;Majandatav metsamaa;1999;Kuusk; Osakaal (%) ;0,174211660
Kokku;Kokku;Majandatav metsamaa;1999;Kuusk;    Pindala      (tuh ha);325,206027752
Kokku;5A-5B;Majandatav metsamaa;1999;Kuusk;    Pindala      (tuh ha);
