Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2023;Mänd;Suht.viga           (± %);0,026147167
Kokku;51...;2023;Mänd;Suht.viga           (± %);0,449394410
Kokku;49...50;2023;Mänd;Suht.viga           (± %);0,446785416
Kokku;47...48;2023;Mänd;Suht.viga           (± %);0,359059997
Kokku;45...46;2023;Mänd;Suht.viga           (± %);0,336286518
Kokku;43...44;2023;Mänd;Suht.viga           (± %);0,244852980
Kokku;41...42;2023;Mänd;Suht.viga           (± %);0,186806987
Kokku;39...40;2023;Mänd;Suht.viga           (± %);0,135809055
Kokku;37...38;2023;Mänd;Suht.viga           (± %);0,107061114
Kokku;35...36;2023;Mänd;Suht.viga           (± %);0,099450995
Kokku;33...34;2023;Mänd;Suht.viga           (± %);0,080938009
Kokku;31...32;2023;Mänd;Suht.viga           (± %);0,067736009
Kokku;29...30;2023;Mänd;Suht.viga           (± %);0,063055486
Kokku;27...28;2023;Mänd;Suht.viga           (± %);0,050728498
Kokku;25...26;2023;Mänd;Suht.viga           (± %);0,054247611
Kokku;23...24;2023;Mänd;Suht.viga           (± %);0,061196402
Kokku;21...22;2023;Mänd;Suht.viga           (± %);0,071761132
Kokku;19...20;2023;Mänd;Suht.viga           (± %);0,069201327
Kokku;17...18;2023;Mänd;Suht.viga           (± %);0,073019062
Kokku;15...16;2023;Mänd;Suht.viga           (± %);0,088728056
Kokku;13...14;2023;Mänd;Suht.viga           (± %);0,088991918
Kokku;11...12;2023;Mänd;Suht.viga           (± %);0,081366201
Kokku;9...10;2023;Mänd;Suht.viga           (± %);0,096509828
Kokku;7...8;2023;Mänd;Suht.viga           (± %);0,121017398
Kokku;5...6;2023;Mänd;Suht.viga           (± %);0,136420051
Kokku;3...4;2023;Mänd;Suht.viga           (± %);0,127747429
Kokku;   ...2;2023;Mänd;Suht.viga           (± %);0,113737355
Kokku;Kokku;2023;Mänd; Osakaal (%) ;1
Kokku;51...;2023;Mänd; Osakaal (%) ;0,001127173
Kokku;49...50;2023;Mänd; Osakaal (%) ;0,001197337
Kokku;47...48;2023;Mänd; Osakaal (%) ;0,002055325
Kokku;45...46;2023;Mänd; Osakaal (%) ;0,002014352
Kokku;43...44;2023;Mänd; Osakaal (%) ;0,003986150
Kokku;41...42;2023;Mänd; Osakaal (%) ;0,007339843
Kokku;39...40;2023;Mänd; Osakaal (%) ;0,013643199
Kokku;37...38;2023;Mänd; Osakaal (%) ;0,022622963
Kokku;35...36;2023;Mänd; Osakaal (%) ;0,032592325
Kokku;33...34;2023;Mänd; Osakaal (%) ;0,038960530
Kokku;31...32;2023;Mänd; Osakaal (%) ;0,063708215
Kokku;29...30;2023;Mänd; Osakaal (%) ;0,092261587
Kokku;27...28;2023;Mänd; Osakaal (%) ;0,117383536
Kokku;25...26;2023;Mänd; Osakaal (%) ;0,115318848
Kokku;23...24;2023;Mänd; Osakaal (%) ;0,077935331
Kokku;21...22;2023;Mänd; Osakaal (%) ;0,059507262
Kokku;19...20;2023;Mänd; Osakaal (%) ;0,053543926
Kokku;17...18;2023;Mänd; Osakaal (%) ;0,055093687
Kokku;15...16;2023;Mänd; Osakaal (%) ;0,043270966
Kokku;13...14;2023;Mänd; Osakaal (%) ;0,041151369
Kokku;11...12;2023;Mänd; Osakaal (%) ;0,050529510
Kokku;9...10;2023;Mänd; Osakaal (%) ;0,031195033
Kokku;7...8;2023;Mänd; Osakaal (%) ;0,021401272
Kokku;5...6;2023;Mänd; Osakaal (%) ;0,018899628
Kokku;3...4;2023;Mänd; Osakaal (%) ;0,013843035
Kokku;   ...2;2023;Mänd; Osakaal (%) ;0,019417596
Kokku;Kokku;2023;Mänd;    Pindala      (tuh ha);650,970643658
Kokku;51...;2023;Mänd;    Pindala      (tuh ha);0,733756525
Kokku;49...50;2023;Mänd;    Pindala      (tuh ha);0,779431193
Kokku;47...48;2023;Mänd;    Pindala      (tuh ha);1,337955997
Kokku;45...46;2023;Mänd;    Pindala      (tuh ha);1,311283861
Kokku;43...44;2023;Mänd;    Pindala      (tuh ha);2,594866738
Kokku;41...42;2023;Mänd;    Pindala      (tuh ha);4,778022332
Kokku;39...40;2023;Mänd;    Pindala      (tuh ha);8,881322257
Kokku;37...38;2023;Mänd;    Pindala      (tuh ha);14,726884727
Kokku;35...36;2023;Mänd;    Pindala      (tuh ha);21,216647079
Kokku;33...34;2023;Mänd;    Pindala      (tuh ha);25,362160997
Kokku;31...32;2023;Mänd;    Pindala      (tuh ha);41,472177554
Kokku;29...30;2023;Mänd;    Pindala      (tuh ha);60,059584979
Kokku;27...28;2023;Mänd;    Pindala      (tuh ha);76,413236137
Kokku;25...26;2023;Mänd;    Pindala      (tuh ha);75,069184988
Kokku;23...24;2023;Mänd;    Pindala      (tuh ha);50,733612815
Kokku;21...22;2023;Mänd;    Pindala      (tuh ha);38,737480860
Kokku;19...20;2023;Mänd;    Pindala      (tuh ha);34,855523804
Kokku;17...18;2023;Mänd;    Pindala      (tuh ha);35,864372774
Kokku;15...16;2023;Mänd;    Pindala      (tuh ha);28,168128880
Kokku;13...14;2023;Mänd;    Pindala      (tuh ha);26,788333017
Kokku;11...12;2023;Mänd;    Pindala      (tuh ha);32,893227834
Kokku;9...10;2023;Mänd;    Pindala      (tuh ha);20,307050877
Kokku;7...8;2023;Mänd;    Pindala      (tuh ha);13,931599904
Kokku;5...6;2023;Mänd;    Pindala      (tuh ha);12,303103136
Kokku;3...4;2023;Mänd;    Pindala      (tuh ha);9,011409323
Kokku;   ...2;2023;Mänd;    Pindala      (tuh ha);12,640285070
Kokku;Kokku;2023;Kuusk;Suht.viga           (± %);0,029805301
Kokku;51...;2023;Kuusk;Suht.viga           (± %);0,577314832
Kokku;49...50;2023;Kuusk;Suht.viga           (± %);0,577439051
Kokku;47...48;2023;Kuusk;Suht.viga           (± %);0,456451944
Kokku;45...46;2023;Kuusk;Suht.viga           (± %);0,353542011
Kokku;43...44;2023;Kuusk;Suht.viga           (± %);0,327661904
