Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;2,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;1,2
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;2,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;0,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,1
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;1,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;5,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,8
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;1,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;4,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;3,4
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;2,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;9,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;8,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;5,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;5,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;7,4
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;5,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;4,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;4,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;5,7
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;6,0
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;11,5
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;18,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;15,1
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;12,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;15,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;17,5
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;14,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;17,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;17,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;14,9
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;12,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;13,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;10,5
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;10,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;11,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;13,2
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;12,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;13,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;13,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;12,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;12,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;10,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;9,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;8,7
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;8,5
2024;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;91...100;6,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;23,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;28,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;81...90;26,7
