Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2014;Mänd;Suht.viga           (± %);0,033579225
Kokku;51...;2014;Mänd;Suht.viga           (± %);0,707357472
Kokku;49...50;2014;Mänd;Suht.viga           (± %);0,669034086
Kokku;47...48;2014;Mänd;Suht.viga           (± %);0,828494524
Kokku;45...46;2014;Mänd;Suht.viga           (± %);0,389507699
Kokku;43...44;2014;Mänd;Suht.viga           (± %);0,390275265
Kokku;41...42;2014;Mänd;Suht.viga           (± %);0,291197832
Kokku;39...40;2014;Mänd;Suht.viga           (± %);0,196326904
Kokku;37...38;2014;Mänd;Suht.viga           (± %);0,156660203
Kokku;35...36;2014;Mänd;Suht.viga           (± %);0,134564380
Kokku;33...34;2014;Mänd;Suht.viga           (± %);0,117869754
Kokku;31...32;2014;Mänd;Suht.viga           (± %);0,093914295
Kokku;29...30;2014;Mänd;Suht.viga           (± %);0,078436905
Kokku;27...28;2014;Mänd;Suht.viga           (± %);0,066377696
Kokku;25...26;2014;Mänd;Suht.viga           (± %);0,062998852
Kokku;23...24;2014;Mänd;Suht.viga           (± %);0,064457120
Kokku;21...22;2014;Mänd;Suht.viga           (± %);0,076875853
Kokku;19...20;2014;Mänd;Suht.viga           (± %);0,081948470
Kokku;17...18;2014;Mänd;Suht.viga           (± %);0,085855149
Kokku;15...16;2014;Mänd;Suht.viga           (± %);0,103559632
Kokku;13...14;2014;Mänd;Suht.viga           (± %);0,100283939
Kokku;11...12;2014;Mänd;Suht.viga           (± %);0,124443172
Kokku;9...10;2014;Mänd;Suht.viga           (± %);0,132885774
Kokku;7...8;2014;Mänd;Suht.viga           (± %);0,152014999
Kokku;5...6;2014;Mänd;Suht.viga           (± %);0,156779580
Kokku;3...4;2014;Mänd;Suht.viga           (± %);0,171770322
Kokku;   ...2;2014;Mänd;Suht.viga           (± %);0,176864374
Kokku;Kokku;2014;Mänd; Osakaal (%) ;1
Kokku;51...;2014;Mänd; Osakaal (%) ;0,000549095
Kokku;49...50;2014;Mänd; Osakaal (%) ;0,000715910
Kokku;47...48;2014;Mänd; Osakaal (%) ;0,000549095
Kokku;45...46;2014;Mänd; Osakaal (%) ;0,002630963
Kokku;43...44;2014;Mänd; Osakaal (%) ;0,002197013
Kokku;41...42;2014;Mänd; Osakaal (%) ;0,004018554
Kokku;39...40;2014;Mänd; Osakaal (%) ;0,009001127
Kokku;37...38;2014;Mänd; Osakaal (%) ;0,015027036
Kokku;35...36;2014;Mänd; Osakaal (%) ;0,024532727
Kokku;33...34;2014;Mänd; Osakaal (%) ;0,030602646
Kokku;31...32;2014;Mänd; Osakaal (%) ;0,048604763
Kokku;29...30;2014;Mänd; Osakaal (%) ;0,080671873
Kokku;27...28;2014;Mänd; Osakaal (%) ;0,129120198
Kokku;25...26;2014;Mänd; Osakaal (%) ;0,121274587
Kokku;23...24;2014;Mänd; Osakaal (%) ;0,121421663
Kokku;21...22;2014;Mänd; Osakaal (%) ;0,066539588
Kokku;19...20;2014;Mänd; Osakaal (%) ;0,056510554
Kokku;17...18;2014;Mänd; Osakaal (%) ;0,055949818
Kokku;15...16;2014;Mänd; Osakaal (%) ;0,039079030
Kokku;13...14;2014;Mänd; Osakaal (%) ;0,052923150
Kokku;11...12;2014;Mänd; Osakaal (%) ;0,034300226
Kokku;9...10;2014;Mänd; Osakaal (%) ;0,028583705
Kokku;7...8;2014;Mänd; Osakaal (%) ;0,022211948
Kokku;5...6;2014;Mänd; Osakaal (%) ;0,020861091
Kokku;3...4;2014;Mänd; Osakaal (%) ;0,017313634
Kokku;   ...2;2014;Mänd; Osakaal (%) ;0,014810006
Kokku;Kokku;2014;Mänd;    Pindala      (tuh ha);707,290897048
Kokku;51...;2014;Mänd;    Pindala      (tuh ha);0,388370105
Kokku;49...50;2014;Mänd;    Pindala      (tuh ha);0,506356943
Kokku;47...48;2014;Mänd;    Pindala      (tuh ha);0,388370105
Kokku;45...46;2014;Mänd;    Pindala      (tuh ha);1,860855940
Kokku;43...44;2014;Mänd;    Pindala      (tuh ha);1,553927046
Kokku;41...42;2014;Mänd;    Pindala      (tuh ha);2,842286614
Kokku;39...40;2014;Mänd;    Pindala      (tuh ha);6,366415203
Kokku;37...38;2014;Mänd;    Pindala      (tuh ha);10,628485829
Kokku;35...36;2014;Mänd;    Pindala      (tuh ha);17,351774321
Kokku;33...34;2014;Mänd;    Pindala      (tuh ha);21,644972811
Kokku;31...32;2014;Mänd;    Pindala      (tuh ha);34,377706125
Kokku;29...30;2014;Mänd;    Pindala      (tuh ha);57,058481424
Kokku;27...28;2014;Mänd;    Pindala      (tuh ha);91,325540906
Kokku;25...26;2014;Mänd;    Pindala      (tuh ha);85,776411752
Kokku;23...24;2014;Mänd;    Pindala      (tuh ha);85,880436685
Kokku;21...22;2014;Mänd;    Pindala      (tuh ha);47,062844682
Kokku;19...20;2014;Mänd;    Pindala      (tuh ha);39,969400642
Kokku;17...18;2014;Mänd;    Pindala      (tuh ha);39,572797091
Kokku;15...16;2014;Mänd;    Pindala      (tuh ha);27,640242123
Kokku;13...14;2014;Mänd;    Pindala      (tuh ha);37,432062235
Kokku;11...12;2014;Mänd;    Pindala      (tuh ha);24,260237680
Kokku;9...10;2014;Mänd;    Pindala      (tuh ha);20,216994190
Kokku;7...8;2014;Mänd;    Pindala      (tuh ha);15,710308654
Kokku;5...6;2014;Mänd;    Pindala      (tuh ha);14,754859940
Kokku;3...4;2014;Mänd;    Pindala      (tuh ha);12,245775457
Kokku;   ...2;2014;Mänd;    Pindala      (tuh ha);10,474982545
Kokku;Kokku;2014;Kuusk;Suht.viga           (± %);0,038317008
Kokku;51...;2014;Kuusk;Suht.viga           (± %);0,999641323
Kokku;49...50;2014;Kuusk;Suht.viga           (± %);1,117393500
Kokku;47...48;2014;Kuusk;Suht.viga           (± %);1,224534092
Kokku;45...46;2014;Kuusk;Suht.viga           (± %);0,453138256
Kokku;43...44;2014;Kuusk;Suht.viga           (± %);0,469993528
Kokku;41...42;2014;Kuusk;Suht.viga           (± %);0,338625897
Kokku;39...40;2014;Kuusk;Suht.viga           (± %);0,220145994
Kokku;37...38;2014;Kuusk;Suht.viga           (± %);0,264936122
Kokku;35...36;2014;Kuusk;Suht.viga           (± %);0,194576463
Kokku;33...34;2014;Kuusk;Suht.viga           (± %);0,155929728
Kokku;31...32;2014;Kuusk;Suht.viga           (± %);0,138932490
Kokku;29...30;2014;Kuusk;Suht.viga           (± %);0,109845880
Kokku;27...28;2014;Kuusk;Suht.viga           (± %);0,096953529
Kokku;25...26;2014;Kuusk;Suht.viga           (± %);0,080178266
Kokku;23...24;2014;Kuusk;Suht.viga           (± %);0,093216452
Kokku;21...22;2014;Kuusk;Suht.viga           (± %);0,107444928
Kokku;19...20;2014;Kuusk;Suht.viga           (± %);0,114567341
Kokku;17...18;2014;Kuusk;Suht.viga           (± %);0,093718034
Kokku;15...16;2014;Kuusk;Suht.viga           (± %);0,094283458
