Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2016;Mänd;Suht.viga           (± %);0,031778061
Kokku;51...;2016;Mänd;Suht.viga           (± %);0,661554837
Kokku;49...50;2016;Mänd;Suht.viga           (± %);0,870412968
Kokku;47...48;2016;Mänd;Suht.viga           (± %);0,598496524
Kokku;45...46;2016;Mänd;Suht.viga           (± %);0,452227277
Kokku;43...44;2016;Mänd;Suht.viga           (± %);0,567966212
Kokku;41...42;2016;Mänd;Suht.viga           (± %);0,287707934
Kokku;39...40;2016;Mänd;Suht.viga           (± %);0,177726344
Kokku;37...38;2016;Mänd;Suht.viga           (± %);0,156567319
Kokku;35...36;2016;Mänd;Suht.viga           (± %);0,129563264
Kokku;33...34;2016;Mänd;Suht.viga           (± %);0,119733623
Kokku;31...32;2016;Mänd;Suht.viga           (± %);0,094572285
Kokku;29...30;2016;Mänd;Suht.viga           (± %);0,072479885
Kokku;27...28;2016;Mänd;Suht.viga           (± %);0,062527466
Kokku;25...26;2016;Mänd;Suht.viga           (± %);0,065120093
Kokku;23...24;2016;Mänd;Suht.viga           (± %);0,064933447
Kokku;21...22;2016;Mänd;Suht.viga           (± %);0,073176073
Kokku;19...20;2016;Mänd;Suht.viga           (± %);0,077040172
Kokku;17...18;2016;Mänd;Suht.viga           (± %);0,082617952
Kokku;15...16;2016;Mänd;Suht.viga           (± %);0,097473813
Kokku;13...14;2016;Mänd;Suht.viga           (± %);0,105269658
Kokku;11...12;2016;Mänd;Suht.viga           (± %);0,107833877
Kokku;9...10;2016;Mänd;Suht.viga           (± %);0,119666621
Kokku;7...8;2016;Mänd;Suht.viga           (± %);0,141410194
Kokku;5...6;2016;Mänd;Suht.viga           (± %);0,144808023
Kokku;3...4;2016;Mänd;Suht.viga           (± %);0,165770714
Kokku;   ...2;2016;Mänd;Suht.viga           (± %);0,163878113
Kokku;Kokku;2016;Mänd; Osakaal (%) ;1
Kokku;51...;2016;Mänd; Osakaal (%) ;0,000871441
Kokku;49...50;2016;Mänd; Osakaal (%) ;0,000399626
Kokku;47...48;2016;Mänd; Osakaal (%) ;0,000994341
Kokku;45...46;2016;Mänd; Osakaal (%) ;0,002009290
Kokku;43...44;2016;Mänd; Osakaal (%) ;0,001144636
Kokku;41...42;2016;Mänd; Osakaal (%) ;0,004178296
Kokku;39...40;2016;Mänd; Osakaal (%) ;0,010342216
Kokku;37...38;2016;Mänd; Osakaal (%) ;0,015753843
Kokku;35...36;2016;Mänd; Osakaal (%) ;0,026085792
Kokku;33...34;2016;Mänd; Osakaal (%) ;0,030917916
Kokku;31...32;2016;Mänd; Osakaal (%) ;0,050687878
Kokku;29...30;2016;Mänd; Osakaal (%) ;0,084422041
Kokku;27...28;2016;Mänd; Osakaal (%) ;0,126741097
Kokku;25...26;2016;Mänd; Osakaal (%) ;0,119074032
Kokku;23...24;2016;Mänd; Osakaal (%) ;0,110906788
Kokku;21...22;2016;Mänd; Osakaal (%) ;0,068965184
Kokku;19...20;2016;Mänd; Osakaal (%) ;0,061933602
Kokku;17...18;2016;Mänd; Osakaal (%) ;0,056602318
Kokku;15...16;2016;Mänd; Osakaal (%) ;0,039361090
Kokku;13...14;2016;Mänd; Osakaal (%) ;0,048645228
Kokku;11...12;2016;Mänd; Osakaal (%) ;0,035779772
Kokku;9...10;2016;Mänd; Osakaal (%) ;0,028873228
Kokku;7...8;2016;Mänd; Osakaal (%) ;0,023914474
Kokku;5...6;2016;Mänd; Osakaal (%) ;0,022827635
Kokku;3...4;2016;Mänd; Osakaal (%) ;0,014672223
Kokku;   ...2;2016;Mänd; Osakaal (%) ;0,013896016
Kokku;Kokku;2016;Mänd;    Pindala      (tuh ha);698,133622710
Kokku;51...;2016;Mänd;    Pindala      (tuh ha);0,608381914
Kokku;49...50;2016;Mänd;    Pindala      (tuh ha);0,278992117
Kokku;47...48;2016;Mänd;    Pindala      (tuh ha);0,694182924
Kokku;45...46;2016;Mänd;    Pindala      (tuh ha);1,402752788
Kokku;43...44;2016;Mänd;    Pindala      (tuh ha);0,799108672
Kokku;41...42;2016;Mänd;    Pindala      (tuh ha);2,917008709
Kokku;39...40;2016;Mänd;    Pindala      (tuh ha);7,220248652
Kokku;37...38;2016;Mänd;    Pindala      (tuh ha);10,998287149
Kokku;35...36;2016;Mänd;    Pindala      (tuh ha);18,211368363
Kokku;33...34;2016;Mänd;    Pindala      (tuh ha);21,584837052
Kokku;31...32;2016;Mänd;    Pindala      (tuh ha);35,386911676
Kokku;29...30;2016;Mänd;    Pindala      (tuh ha);58,937865668
Kokku;27...28;2016;Mänd;    Pindala      (tuh ha);88,482221477
Kokku;25...26;2016;Mänd;    Pindala      (tuh ha);83,129585208
Kokku;23...24;2016;Mänd;    Pindala      (tuh ha);77,427757574
