Omand;Boniteedi klass;Majanduskategooria;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,088005155
Kokku;5A-5B;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,170145934
Kokku;5;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,176923337
Kokku;4;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,156281492
Kokku;3;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,144275033
Kokku;2;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,130062061
Kokku;1;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,169435707
Kokku;1A;Mittemajandatavad metsad;2015;Mänd;Suht.viga           (± %);0,248518732
Kokku;Kokku;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,163962448
Kokku;5;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,113481787
Kokku;4;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,140295612
Kokku;3;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,191533052
Kokku;2;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,217546966
Kokku;1;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,135188508
Kokku;1A;Mittemajandatavad metsad;2015;Mänd; Osakaal (%) ;0,037991626
Kokku;Kokku;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);134,765660141
Kokku;5A-5B;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);22,096507597
Kokku;5;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);15,293447997
Kokku;4;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);18,907030762
Kokku;3;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);25,812078221
Kokku;2;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);29,317860443
Kokku;1;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);18,218768576
Kokku;1A;Mittemajandatavad metsad;2015;Mänd;    Pindala      (tuh ha);5,119966544
Kokku;Kokku;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,125842081
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);
Kokku;5;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,999643457
Kokku;4;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,509798443
Kokku;3;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,288124938
Kokku;2;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,201825534
Kokku;1;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,156275862
Kokku;1A;Mittemajandatavad metsad;2015;Kuusk;Suht.viga           (± %);0,199126364
Kokku;Kokku;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;
Kokku;5;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,004815909
Kokku;4;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,024079547
Kokku;3;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,093408417
Kokku;2;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,227900875
Kokku;1;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,396705725
Kokku;1A;Mittemajandatavad metsad;2015;Kuusk; Osakaal (%) ;0,253089526
Kokku;Kokku;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);38,074935539
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);
Kokku;5;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);0,183365442
Kokku;4;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);0,916827210
Kokku;3;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);3,556519440
Kokku;2;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);8,677311129
Kokku;1;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);15,104544919
Kokku;1A;Mittemajandatavad metsad;2015;Kuusk;    Pindala      (tuh ha);9,636367400
Kokku;Kokku;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,105176940
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,493861083
Kokku;5;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,456642021
Kokku;4;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,237072791
Kokku;3;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,176888882
Kokku;2;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,161752505
Kokku;1;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,164066698
Kokku;1A;Mittemajandatavad metsad;2015;Kask;Suht.viga           (± %);0,266203348
Kokku;Kokku;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;1
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,017537908
Kokku;5;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,017537908
Kokku;4;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,115249111
Kokku;3;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,157686590
Kokku;2;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,334483236
Kokku;1;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,257768166
Kokku;1A;Mittemajandatavad metsad;2015;Kask; Osakaal (%) ;0,099737082
Kokku;Kokku;Mittemajandatavad metsad;2015;Kask;    Pindala      (tuh ha);73,187639036
Kokku;5A-5B;Mittemajandatavad metsad;2015;Kask;    Pindala      (tuh ha);1,283558094
Kokku;5;Mittemajandatavad metsad;2015;Kask;    Pindala      (tuh ha);1,283558094
Kokku;4;Mittemajandatavad metsad;2015;Kask;    Pindala      (tuh ha);8,434810332
Kokku;3;Mittemajandatavad metsad;2015;Kask;    Pindala      (tuh ha);11,540709198
