Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,4
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,8
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;1,0
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;0,9
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;1,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;1,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;1,7
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;1,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,4
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,5
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,5
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;1,1
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;0,9
