Omand;Kaitsepõhjus;Aasta;Enamuspuuliik;Measure Names;Measure Values
Kokku;Kokku;2011;Mänd;Suht.viga           (± %);0,035277592
Kokku;51...;2011;Mänd;Suht.viga           (± %);1,224569333
Kokku;49...50;2011;Mänd;Suht.viga           (± %);1,224257588
Kokku;47...48;2011;Mänd;Suht.viga           (± %);0,526754927
Kokku;45...46;2011;Mänd;Suht.viga           (± %);0,478840837
Kokku;43...44;2011;Mänd;Suht.viga           (± %);0,351309981
Kokku;41...42;2011;Mänd;Suht.viga           (± %);0,305400140
Kokku;39...40;2011;Mänd;Suht.viga           (± %);0,185236843
Kokku;37...38;2011;Mänd;Suht.viga           (± %);0,167310729
Kokku;35...36;2011;Mänd;Suht.viga           (± %);0,145029461
Kokku;33...34;2011;Mänd;Suht.viga           (± %);0,113292732
Kokku;31...32;2011;Mänd;Suht.viga           (± %);0,100798548
Kokku;29...30;2011;Mänd;Suht.viga           (± %);0,080470722
Kokku;27...28;2011;Mänd;Suht.viga           (± %);0,075307017
Kokku;25...26;2011;Mänd;Suht.viga           (± %);0,063906368
Kokku;23...24;2011;Mänd;Suht.viga           (± %);0,066833420
Kokku;21...22;2011;Mänd;Suht.viga           (± %);0,079821825
Kokku;19...20;2011;Mänd;Suht.viga           (± %);0,082696418
Kokku;17...18;2011;Mänd;Suht.viga           (± %);0,083290132
Kokku;15...16;2011;Mänd;Suht.viga           (± %);0,101562495
Kokku;13...14;2011;Mänd;Suht.viga           (± %);0,096855013
Kokku;11...12;2011;Mänd;Suht.viga           (± %);0,115640037
Kokku;9...10;2011;Mänd;Suht.viga           (± %);0,145540457
Kokku;7...8;2011;Mänd;Suht.viga           (± %);0,151334665
Kokku;5...6;2011;Mänd;Suht.viga           (± %);0,183931672
Kokku;3...4;2011;Mänd;Suht.viga           (± %);0,168335631
Kokku;   ...2;2011;Mänd;Suht.viga           (± %);0,189903128
Kokku;Kokku;2011;Mänd; Osakaal (%) ;1
Kokku;51...;2011;Mänd; Osakaal (%) ;0,000299481
Kokku;49...50;2011;Mänd; Osakaal (%) ;0,000299481
Kokku;47...48;2011;Mänd; Osakaal (%) ;0,001080409
Kokku;45...46;2011;Mänd; Osakaal (%) ;0,001497407
Kokku;43...44;2011;Mänd; Osakaal (%) ;0,002776042
Kokku;41...42;2011;Mänd; Osakaal (%) ;0,003406031
Kokku;39...40;2011;Mänd; Osakaal (%) ;0,010254750
Kokku;37...38;2011;Mänd; Osakaal (%) ;0,013775632
Kokku;35...36;2011;Mänd; Osakaal (%) ;0,021452296
Kokku;33...34;2011;Mänd; Osakaal (%) ;0,029166276
Kokku;31...32;2011;Mänd; Osakaal (%) ;0,039462564
Kokku;29...30;2011;Mänd; Osakaal (%) ;0,085513777
Kokku;27...28;2011;Mänd; Osakaal (%) ;0,104237379
Kokku;25...26;2011;Mänd; Osakaal (%) ;0,114947670
Kokku;23...24;2011;Mänd; Osakaal (%) ;0,112058424
Kokku;21...22;2011;Mänd; Osakaal (%) ;0,078047438
Kokku;19...20;2011;Mänd; Osakaal (%) ;0,070885312
Kokku;17...18;2011;Mänd; Osakaal (%) ;0,066269916
Kokku;15...16;2011;Mänd; Osakaal (%) ;0,047735406
Kokku;13...14;2011;Mänd; Osakaal (%) ;0,053370507
Kokku;11...12;2011;Mänd; Osakaal (%) ;0,039271285
Kokku;9...10;2011;Mänd; Osakaal (%) ;0,025045773
Kokku;7...8;2011;Mänd; Osakaal (%) ;0,024518895
Kokku;5...6;2011;Mänd; Osakaal (%) ;0,017028388
Kokku;3...4;2011;Mänd; Osakaal (%) ;0,018440892
Kokku;   ...2;2011;Mänd; Osakaal (%) ;0,019158569
Kokku;Kokku;2011;Mänd;    Pindala      (tuh ha);692,934307958
Kokku;51...;2011;Mänd;    Pindala      (tuh ha);0,207520883
Kokku;49...50;2011;Mänd;    Pindala      (tuh ha);0,207520883
Kokku;47...48;2011;Mänd;    Pindala      (tuh ha);0,748652337
Kokku;45...46;2011;Mänd;    Pindala      (tuh ha);1,037604414
Kokku;43...44;2011;Mänd;    Pindala      (tuh ha);1,923614823
Kokku;41...42;2011;Mänd;    Pindala      (tuh ha);2,360155752
Kokku;39...40;2011;Mänd;    Pindala      (tuh ha);7,105867813
Kokku;37...38;2011;Mänd;    Pindala      (tuh ha);9,545607824
Kokku;35...36;2011;Mänd;    Pindala      (tuh ha);14,865032118
Kokku;33...34;2011;Mänd;    Pindala      (tuh ha);20,210313513
Kokku;31...32;2011;Mänd;    Pindala      (tuh ha);27,344964473
Kokku;29...30;2011;Mänd;    Pindala      (tuh ha);59,255429872
Kokku;27...28;2011;Mänd;    Pindala      (tuh ha);72,229656218
Kokku;25...26;2011;Mänd;    Pindala      (tuh ha);79,651184046
Kokku;23...24;2011;Mänd;    Pindala      (tuh ha);77,649126329
Kokku;21...22;2011;Mänd;    Pindala      (tuh ha);54,081747495
Kokku;19...20;2011;Mänd;    Pindala      (tuh ha);49,118864830
Kokku;17...18;2011;Mänd;    Pindala      (tuh ha);45,920698248
Kokku;15...16;2011;Mänd;    Pindala      (tuh ha);33,077500588
Kokku;13...14;2011;Mänd;    Pindala      (tuh ha);36,982255023
Kokku;11...12;2011;Mänd;    Pindala      (tuh ha);27,212420885
Kokku;9...10;2011;Mänd;    Pindala      (tuh ha);17,355075191
Kokku;7...8;2011;Mänd;    Pindala      (tuh ha);16,989983702
Kokku;5...6;2011;Mänd;    Pindala      (tuh ha);11,799554389
Kokku;3...4;2011;Mänd;    Pindala      (tuh ha);12,778326633
Kokku;   ...2;2011;Mänd;    Pindala      (tuh ha);13,275629676
Kokku;Kokku;2011;Kuusk;Suht.viga           (± %);0,039904274
Kokku;51...;2011;Kuusk;Suht.viga           (± %);0,828551443
Kokku;49...50;2011;Kuusk;Suht.viga           (± %);0,999403143
Kokku;47...48;2011;Kuusk;Suht.viga           (± %);0,706743626
Kokku;45...46;2011;Kuusk;Suht.viga           (± %);0,583981983
Kokku;43...44;2011;Kuusk;Suht.viga           (± %);0,453525292
Kokku;41...42;2011;Kuusk;Suht.viga           (± %);0,366260358
Kokku;39...40;2011;Kuusk;Suht.viga           (± %);0,214248018
Kokku;37...38;2011;Kuusk;Suht.viga           (± %);0,248396063
Kokku;35...36;2011;Kuusk;Suht.viga           (± %);0,182628251
Kokku;33...34;2011;Kuusk;Suht.viga           (± %);0,175707176
Kokku;31...32;2011;Kuusk;Suht.viga           (± %);0,174497956
Kokku;29...30;2011;Kuusk;Suht.viga           (± %);0,108428176
Kokku;27...28;2011;Kuusk;Suht.viga           (± %);0,101653772
Kokku;25...26;2011;Kuusk;Suht.viga           (± %);0,091212906
Kokku;23...24;2011;Kuusk;Suht.viga           (± %);0,104059405
Kokku;21...22;2011;Kuusk;Suht.viga           (± %);0,115295577
Kokku;19...20;2011;Kuusk;Suht.viga           (± %);0,102439445
Kokku;17...18;2011;Kuusk;Suht.viga           (± %);0,107716598
Kokku;15...16;2011;Kuusk;Suht.viga           (± %);0,106050712
Kokku;13...14;2011;Kuusk;Suht.viga           (± %);0,104344762
Kokku;11...12;2011;Kuusk;Suht.viga           (± %);0,128196305
Kokku;9...10;2011;Kuusk;Suht.viga           (± %);0,163645545
Kokku;7...8;2011;Kuusk;Suht.viga           (± %);0,164501304
Kokku;5...6;2011;Kuusk;Suht.viga           (± %);0,201998537
Kokku;3...4;2011;Kuusk;Suht.viga           (± %);0,160296358
Kokku;   ...2;2011;Kuusk;Suht.viga           (± %);0,146061955
Kokku;Kokku;2011;Kuusk; Osakaal (%) ;1
Kokku;51...;2011;Kuusk; Osakaal (%) ;0,001226793
Kokku;49...50;2011;Kuusk; Osakaal (%) ;0,000613396
Kokku;47...48;2011;Kuusk; Osakaal (%) ;0,001226793
Kokku;45...46;2011;Kuusk; Osakaal (%) ;0,002329005
Kokku;43...44;2011;Kuusk; Osakaal (%) ;0,004641387
Kokku;41...42;2011;Kuusk; Osakaal (%) ;0,004727876
Kokku;39...40;2011;Kuusk; Osakaal (%) ;0,014464196
Kokku;37...38;2011;Kuusk; Osakaal (%) ;0,012881326
Kokku;35...36;2011;Kuusk; Osakaal (%) ;0,023588714
Kokku;33...34;2011;Kuusk; Osakaal (%) ;0,023309067
Kokku;31...32;2011;Kuusk; Osakaal (%) ;0,026419846
Kokku;29...30;2011;Kuusk; Osakaal (%) ;0,066851876
Kokku;27...28;2011;Kuusk; Osakaal (%) ;0,085781721
Kokku;25...26;2011;Kuusk; Osakaal (%) ;0,091727005
Kokku;23...24;2011;Kuusk; Osakaal (%) ;0,072150333
Kokku;21...22;2011;Kuusk; Osakaal (%) ;0,057729136
Kokku;19...20;2011;Kuusk; Osakaal (%) ;0,071419226
Kokku;17...18;2011;Kuusk; Osakaal (%) ;0,085616533
Kokku;15...16;2011;Kuusk; Osakaal (%) ;0,086617535
Kokku;13...14;2011;Kuusk; Osakaal (%) ;0,081093777
Kokku;11...12;2011;Kuusk; Osakaal (%) ;0,049651625
Kokku;9...10;2011;Kuusk; Osakaal (%) ;0,032604232
Kokku;7...8;2011;Kuusk; Osakaal (%) ;0,028154408
Kokku;5...6;2011;Kuusk; Osakaal (%) ;0,018278418
Kokku;3...4;2011;Kuusk; Osakaal (%) ;0,027886231
Kokku;   ...2;2011;Kuusk; Osakaal (%) ;0,029009544
Kokku;Kokku;2011;Kuusk;    Pindala      (tuh ha);338,314426320
Kokku;51...;2011;Kuusk;    Pindala      (tuh ha);0,415041766
Kokku;49...50;2011;Kuusk;    Pindala      (tuh ha);0,207520883
Kokku;47...48;2011;Kuusk;    Pindala      (tuh ha);0,415041766
Kokku;45...46;2011;Kuusk;    Pindala      (tuh ha);0,787936040
Kokku;43...44;2011;Kuusk;    Pindala      (tuh ha);1,570248264
Kokku;41...42;2011;Kuusk;    Pindala      (tuh ha);1,599508709
Kokku;39...40;2011;Kuusk;    Pindala      (tuh ha);4,893446177
Kokku;37...38;2011;Kuusk;    Pindala      (tuh ha);4,357938539
Kokku;35...36;2011;Kuusk;    Pindala      (tuh ha);7,980402318
Kokku;33...34;2011;Kuusk;    Pindala      (tuh ha);7,885793547
Kokku;31...32;2011;Kuusk;    Pindala      (tuh ha);8,938214952
Kokku;29...30;2011;Kuusk;    Pindala      (tuh ha);22,616953943
Kokku;27...28;2011;Kuusk;    Pindala      (tuh ha);29,021193652
Kokku;25...26;2011;Kuusk;    Pindala      (tuh ha);31,032569056
Kokku;23...24;2011;Kuusk;    Pindala      (tuh ha);24,409498577
Kokku;21...22;2011;Kuusk;    Pindala      (tuh ha);19,530599614
Kokku;19...20;2011;Kuusk;    Pindala      (tuh ha);24,162154437
Kokku;17...18;2011;Kuusk;    Pindala      (tuh ha);28,965308278
Kokku;15...16;2011;Kuusk;    Pindala      (tuh ha);29,303961607
Kokku;13...14;2011;Kuusk;    Pindala      (tuh ha);27,435194553
Kokku;11...12;2011;Kuusk;    Pindala      (tuh ha);16,797860868
Kokku;9...10;2011;Kuusk;    Pindala      (tuh ha);11,030481997
Kokku;7...8;2011;Kuusk;    Pindala      (tuh ha);9,525042505
Kokku;5...6;2011;Kuusk;    Pindala      (tuh ha);6,183852531
Kokku;3...4;2011;Kuusk;    Pindala      (tuh ha);9,434314375
Kokku;   ...2;2011;Kuusk;    Pindala      (tuh ha);9,814347367
Kokku;Kokku;2011;Kask;Suht.viga           (± %);0,029011414
Kokku;51...;2011;Kask;Suht.viga           (± %);
Kokku;49...50;2011;Kask;Suht.viga           (± %);
Kokku;47...48;2011;Kask;Suht.viga           (± %);
Kokku;45...46;2011;Kask;Suht.viga           (± %);0,438477368
Kokku;43...44;2011;Kask;Suht.viga           (± %);1,224413470
Kokku;41...42;2011;Kask;Suht.viga           (± %);0,749458705
Kokku;39...40;2011;Kask;Suht.viga           (± %);0,489366321
Kokku;37...38;2011;Kask;Suht.viga           (± %);0,499187686
Kokku;35...36;2011;Kask;Suht.viga           (± %);0,248640353
Kokku;33...34;2011;Kask;Suht.viga           (± %);0,233870176
Kokku;31...32;2011;Kask;Suht.viga           (± %);0,231705922
Kokku;29...30;2011;Kask;Suht.viga           (± %);0,161607368
Kokku;27...28;2011;Kask;Suht.viga           (± %);0,121988088
Kokku;25...26;2011;Kask;Suht.viga           (± %);0,093885982
Kokku;23...24;2011;Kask;Suht.viga           (± %);0,074487474
Kokku;21...22;2011;Kask;Suht.viga           (± %);0,077272681
Kokku;19...20;2011;Kask;Suht.viga           (± %);0,074352973
Kokku;17...18;2011;Kask;Suht.viga           (± %);0,065374153
Kokku;15...16;2011;Kask;Suht.viga           (± %);0,070888803
Kokku;13...14;2011;Kask;Suht.viga           (± %);0,065818001
Kokku;11...12;2011;Kask;Suht.viga           (± %);0,088101127
Kokku;9...10;2011;Kask;Suht.viga           (± %);0,085135899
Kokku;7...8;2011;Kask;Suht.viga           (± %);0,097756250
Kokku;5...6;2011;Kask;Suht.viga           (± %);0,116024100
Kokku;3...4;2011;Kask;Suht.viga           (± %);0,092343400
Kokku;   ...2;2011;Kask;Suht.viga           (± %);0,084860004
Kokku;Kokku;2011;Kask; Osakaal (%) ;1
Kokku;51...;2011;Kask; Osakaal (%) ;
Kokku;49...50;2011;Kask; Osakaal (%) ;
Kokku;47...48;2011;Kask; Osakaal (%) ;
Kokku;45...46;2011;Kask; Osakaal (%) ;0,001744789
Kokku;43...44;2011;Kask; Osakaal (%) ;0,000311915
Kokku;41...42;2011;Kask; Osakaal (%) ;0,000623829
Kokku;39...40;2011;Kask; Osakaal (%) ;0,001559574
Kokku;37...38;2011;Kask; Osakaal (%) ;0,001559574
Kokku;35...36;2011;Kask; Osakaal (%) ;0,006593472
Kokku;33...34;2011;Kask; Osakaal (%) ;0,005788327
Kokku;31...32;2011;Kask; Osakaal (%) ;0,007308880
Kokku;29...30;2011;Kask; Osakaal (%) ;0,021714631
Kokku;27...28;2011;Kask; Osakaal (%) ;0,032122228
Kokku;25...26;2011;Kask; Osakaal (%) ;0,055946057
Kokku;23...24;2011;Kask; Osakaal (%) ;0,085194895
Kokku;21...22;2011;Kask; Osakaal (%) ;0,075303486
Kokku;19...20;2011;Kask; Osakaal (%) ;0,092683781
Kokku;17...18;2011;Kask; Osakaal (%) ;0,110716944
Kokku;15...16;2011;Kask; Osakaal (%) ;0,103104852
Kokku;13...14;2011;Kask; Osakaal (%) ;0,097814155
Kokku;11...12;2011;Kask; Osakaal (%) ;0,053128313
Kokku;9...10;2011;Kask; Osakaal (%) ;0,056102826
Kokku;7...8;2011;Kask; Osakaal (%) ;0,039106311
Kokku;5...6;2011;Kask; Osakaal (%) ;0,031927375
Kokku;3...4;2011;Kask; Osakaal (%) ;0,049429035
Kokku;   ...2;2011;Kask; Osakaal (%) ;0,070214753
Kokku;Kokku;2011;Kask;    Pindala      (tuh ha);665,312842661
Kokku;51...;2011;Kask;    Pindala      (tuh ha);
Kokku;49...50;2011;Kask;    Pindala      (tuh ha);
Kokku;47...48;2011;Kask;    Pindala      (tuh ha);
Kokku;45...46;2011;Kask;    Pindala      (tuh ha);1,160830314
Kokku;43...44;2011;Kask;    Pindala      (tuh ha);0,207520883
Kokku;41...42;2011;Kask;    Pindala      (tuh ha);0,415041766
Kokku;39...40;2011;Kask;    Pindala      (tuh ha);1,037604414
Kokku;37...38;2011;Kask;    Pindala      (tuh ha);1,037604414
Kokku;35...36;2011;Kask;    Pindala      (tuh ha);4,386721686
Kokku;33...34;2011;Kask;    Pindala      (tuh ha);3,851048031
Kokku;31...32;2011;Kask;    Pindala      (tuh ha);4,862691583
Kokku;29...30;2011;Kask;    Pindala      (tuh ha);14,447022803
Kokku;27...28;2011;Kask;    Pindala      (tuh ha);21,371330596
Kokku;25...26;2011;Kask;    Pindala      (tuh ha);37,221630362
Kokku;23...24;2011;Kask;    Pindala      (tuh ha);56,681257833
Kokku;21...22;2011;Kask;    Pindala      (tuh ha);50,100376349
Kokku;19...20;2011;Kask;    Pindala      (tuh ha);61,663709717
Kokku;17...18;2011;Kask;    Pindala      (tuh ha);73,661405045
Kokku;15...16;2011;Kask;    Pindala      (tuh ha);68,596982412
Kokku;13...14;2011;Kask;    Pindala      (tuh ha);65,077013198
Kokku;11...12;2011;Kask;    Pindala      (tuh ha);35,346948962
Kokku;9...10;2011;Kask;    Pindala      (tuh ha);37,325930357
Kokku;7...8;2011;Kask;    Pindala      (tuh ha);26,017930684
Kokku;5...6;2011;Kask;    Pindala      (tuh ha);21,241692301
Kokku;3...4;2011;Kask;    Pindala      (tuh ha);32,885772044
Kokku;   ...2;2011;Kask;    Pindala      (tuh ha);46,714776907
Kokku;Kokku;2011;Haab;Suht.viga           (± %);0,058733462
Kokku;51...;2011;Haab;Suht.viga           (± %);0,616382403
Kokku;49...50;2011;Haab;Suht.viga           (± %);0,600037488
Kokku;47...48;2011;Haab;Suht.viga           (± %);0,705811921
Kokku;45...46;2011;Haab;Suht.viga           (± %);0,367455065
Kokku;43...44;2011;Haab;Suht.viga           (± %);0,518796912
Kokku;41...42;2011;Haab;Suht.viga           (± %);0,614450575
Kokku;39...40;2011;Haab;Suht.viga           (± %);0,242161757
Kokku;37...38;2011;Haab;Suht.viga           (± %);0,301444003
Kokku;35...36;2011;Haab;Suht.viga           (± %);0,200214594
Kokku;33...34;2011;Haab;Suht.viga           (± %);0,210764011
Kokku;31...32;2011;Haab;Suht.viga           (± %);0,228214280
Kokku;29...30;2011;Haab;Suht.viga           (± %);0,150373355
Kokku;27...28;2011;Haab;Suht.viga           (± %);0,211760458
Kokku;25...26;2011;Haab;Suht.viga           (± %);0,149008827
Kokku;23...24;2011;Haab;Suht.viga           (± %);0,178281820
Kokku;21...22;2011;Haab;Suht.viga           (± %);0,207498856
Kokku;19...20;2011;Haab;Suht.viga           (± %);0,229483498
Kokku;17...18;2011;Haab;Suht.viga           (± %);0,366341996
Kokku;15...16;2011;Haab;Suht.viga           (± %);0,268007446
Kokku;13...14;2011;Haab;Suht.viga           (± %);0,296203222
Kokku;11...12;2011;Haab;Suht.viga           (± %);0,348073883
Kokku;9...10;2011;Haab;Suht.viga           (± %);0,335776505
Kokku;7...8;2011;Haab;Suht.viga           (± %);0,400792209
Kokku;5...6;2011;Haab;Suht.viga           (± %);0,256684359
Kokku;3...4;2011;Haab;Suht.viga           (± %);0,168616959
Kokku;   ...2;2011;Haab;Suht.viga           (± %);0,145499090
Kokku;Kokku;2011;Haab; Osakaal (%) ;1
Kokku;51...;2011;Haab; Osakaal (%) ;0,008938051
Kokku;49...50;2011;Haab; Osakaal (%) ;0,005362830
Kokku;47...48;2011;Haab; Osakaal (%) ;0,005362830
Kokku;45...46;2011;Haab; Osakaal (%) ;0,015474983
Kokku;43...44;2011;Haab; Osakaal (%) ;0,006256635
Kokku;41...42;2011;Haab; Osakaal (%) ;0,004548395
Kokku;39...40;2011;Haab; Osakaal (%) ;0,036712864
Kokku;37...38;2011;Haab; Osakaal (%) ;0,018802619
Kokku;35...36;2011;Haab; Osakaal (%) ;0,054870692
Kokku;33...34;2011;Haab; Osakaal (%) ;0,042575152
Kokku;31...32;2011;Haab; Osakaal (%) ;0,041185822
Kokku;29...30;2011;Haab; Osakaal (%) ;0,091502756
Kokku;27...28;2011;Haab; Osakaal (%) ;0,051702868
Kokku;25...26;2011;Haab; Osakaal (%) ;0,097248314
Kokku;23...24;2011;Haab; Osakaal (%) ;0,065247769
