Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Meetriku väärtus
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,3
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,3
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,8
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,8
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,8
2024;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;0,6
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,5
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,3
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,3
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;0,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;1,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;91...100;2,1
