Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,5
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,8
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;2,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;131...140;27.02.2025 13:21:59;1,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,3
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,0
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,4
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,5
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,8
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;2,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,9
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,1
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;0,9
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,1
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;121...130;27.02.2025 13:21:59;1,1
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;5,2
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,4
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,7
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,6
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,8
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,8
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,5
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,1
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;1,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,3
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,9
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;2,8
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,1
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,9
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;4,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;111...120;27.02.2025 13:21:59;3,4
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;9,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,4
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,9
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,0
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;6,7
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,8
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;8,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,7
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Kuusk;101...110;27.02.2025 13:21:59;7,4
