Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
