Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,1
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,3
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;71...80;27.02.2025 13:21:59;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,6
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;0,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,1
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,5
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,7
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,5
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;61...70;27.02.2025 13:21:59;1,9
