Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;6,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,1
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;8,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;9,1
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,4
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,1
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,5
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;10,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;11,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;12,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;13,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;14,7
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;14,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;15,6
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;15,7
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;16,5
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;16,0
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;15,7
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;6,2
