Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;131...140;27.02.2025 13:21:59;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;121...130;27.02.2025 13:21:59;0,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;111...120;27.02.2025 13:21:59;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;1,1
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,6
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,3
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Sanglepp;101...110;27.02.2025 13:21:59;0,2
