Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,5
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,5
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,9
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,0
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,9
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,6
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,8
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,3
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;5,7
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,8
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,8
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,1
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,5
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,1
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,4
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,2
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,8
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,3
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,5
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,7
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;2,7
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;3,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;4,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;4,1
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;3,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;5,0
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;81...90;27.02.2025 13:21:59;4,3
