Omand;Raie aasta;Meetrik;Tüübi grupp;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
Kokku;2018;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;476,6
Kokku;2018;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;289,6
Kokku;2018;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;34,6
Kokku;2018;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;10 008,2
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;464,5
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;273,1
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;38,9
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;10 619,0
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;29,8
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;155,0
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;3,2
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;501,2
Kokku;2017;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;434,8
Kokku;2017;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;283,9
Kokku;2017;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;35,6
Kokku;2017;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;10 117,8
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;382,1
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;263,4
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;34,3
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;9 024,5
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;7,6
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;79,5
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;1,8
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;145,1
Kokku;2016;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;374,5
Kokku;2016;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;273,7
Kokku;2016;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;32,4
Kokku;2016;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;8 879,4
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;241,1
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;242,3
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;34,0
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;8 240,0
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;7,6
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;99,1
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;2,4
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;242,4
Kokku;2015;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;233,4
Kokku;2015;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;253,4
Kokku;2015;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;31,6
Kokku;2015;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;7 997,6
Kokku;2014;Sh raiutud surnud puitu tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;363,5
Kokku;2014;Väljaraie m³/ha;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;251,9
Kokku;2014;Pindala (tuhat ha);Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;32,1
Kokku;2014;Raiutud tagavara tuh m³;Uuendusraie;Uuendusraie kokku;27.02.2025 17:44:12;8 079,5
Kokku;2014;Sh raiutud surnud puitu tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;1,3
Kokku;2014;Väljaraie m³/ha;Uuendusraie;Turberaie;27.02.2025 17:44:12;96,4
Kokku;2014;Pindala (tuhat ha);Uuendusraie;Turberaie;27.02.2025 17:44:12;2,4
Kokku;2014;Raiutud tagavara tuh m³;Uuendusraie;Turberaie;27.02.2025 17:44:12;229,6
Kokku;2014;Sh raiutud surnud puitu tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;362,3
Kokku;2014;Väljaraie m³/ha;Uuendusraie;Lageraie;27.02.2025 17:44:12;264,4
Kokku;2014;Pindala (tuhat ha);Uuendusraie;Lageraie;27.02.2025 17:44:12;29,7
Kokku;2014;Raiutud tagavara tuh m³;Uuendusraie;Lageraie;27.02.2025 17:44:12;7 849,8
