Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;27.02.2025 13:21:59;1,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;27.02.2025 13:21:59;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;111...120;27.02.2025 13:21:59;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,4
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,4
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,2
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,6
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,0
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,7
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,7
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,3
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,0
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,7
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,4
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;1,4
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,9
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;101...110;27.02.2025 13:21:59;0,9
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,1
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,0
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;0,6
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,0
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;2,0
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;2,0
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;2,0
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;2,2
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;2,2
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,4
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;91...100;27.02.2025 13:21:59;1,6
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;0,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;0,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,1
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,3
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,7
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,7
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;2,1
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,7
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,6
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;2,3
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;2,1
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,9
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;2,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,3
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,3
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,6
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,3
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;1,1
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;0,9
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;0,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;81...90;27.02.2025 13:21:59;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;4,6
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,9
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,7
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,9
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Teised;71...80;27.02.2025 13:21:59;3,5
