Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;2,6
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;3,6
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;3,5
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;4,1
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;4,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;5,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;5,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;5,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;5,9
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;6,0
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;5,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;6,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,3
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,5
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;8,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,9
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,8
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,7
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;6,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;131...140;27.02.2025 13:21:59;7,0
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;3,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;3,0
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;3,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;4,6
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;4,9
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;5,9
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;7,9
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,3
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,3
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;11,4
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;11,4
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;12,4
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;12,0
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;11,6
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,8
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,1
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;6,8
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;5,4
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;6,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;8,3
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;10,2
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,9
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;9,1
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;8,0
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;121...130;27.02.2025 13:21:59;7,2
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;15,9
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;18,5
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;16,5
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Mänd;111...120;27.02.2025 13:21:59;15,3
