Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;19,7
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;19,2
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;20,3
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;20,0
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;20,8
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;19,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;19,8
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;15,5
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;13,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;16,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;16,9
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;19,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;20,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;22,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;22,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;121...130;27.02.2025 13:21:59;22,1
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;33,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;32,2
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;29,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;28,3
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;27,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,8
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,0
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;24,0
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;24,3
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;25,3
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;24,8
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;21,8
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;22,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;23,3
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;24,4
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;28,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;32,0
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;32,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;32,5
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;35,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;37,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;39,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;40,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;111...120;27.02.2025 13:21:59;41,5
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;34,5
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;32,4
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;30,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;35,9
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;37,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;39,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;41,5
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;46,4
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;45,8
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;46,5
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;44,7
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;46,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;44,1
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;42,7
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;42,5
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;48,6
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;48,4
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;50,1
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;51,3
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;49,7
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;48,8
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;51,5
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;51,3
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;49,6
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;101...110;27.02.2025 13:21:59;53,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;54,0
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;75,1
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;70,4
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;65,2
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;69,2
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;80,3
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;76,6
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;81,8
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;88,7
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;87,6
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;84,8
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;90,0
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;85,8
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;80,9
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;81,7
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;83,0
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;81,0
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;83,6
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;87,4
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;87,2
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;86,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;86,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;88,0
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;87,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;91...100;27.02.2025 13:21:59;90,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;106,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;122,8
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;113,7
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;112,7
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;112,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;113,4
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;111,5
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;112,6
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;113,6
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;114,8
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;114,7
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;114,9
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;115,7
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;117,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;118,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;126,3
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;128,1
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;131,8
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;135,0
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;136,8
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;134,5
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;135,3
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;135,7
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;136,4
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;81...90;27.02.2025 13:21:59;133,0
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;161,9
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;184,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;182,6
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;184,6
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;190,9
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;199,5
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;201,7
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;204,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;208,2
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;202,1
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;198,5
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;195,7
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;199,6
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;199,4
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;201,2
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;205,9
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;204,2
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;200,9
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;203,5
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;206,1
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;205,9
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;206,6
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;206,6
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;204,5
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;71...80;27.02.2025 13:21:59;205,3
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;230,7
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;256,2
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;245,3
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;243,4
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;241,8
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;243,2
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;238,0
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;237,1
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Kokku;61...70;27.02.2025 13:21:59;241,2
